x,y,z
#!,zero-counter: 1758
-40119117,10878271,-508704454,-1204
-39224698,10325576,-508752301,-856
-40119853,10928422,-508630116,-864
-40581139,11250028,-508616759,-1164
-39631484,10649773,-508574592,-1036
-40555650,11253289,-508582925,-1000
#!,zero-counter: 1297
-42005753,12985685,-508782864,-128
-39322645,11253604,-508308100,-1452
-40629138,12073071,-508235987,-1140
-41523613,12609487,-508260483,-800
-40070944,11729183,-508356452,-1472
-40591606,12045066,-507746276,-904
-39947542,11615385,-507632032,-900
#!,zero-counter: 15219
-37993419,11277502,-508428329,-1208
-37790177,11118561,-508425679,-1252
-37160167,10724225,-508521390,-1088
-37670322,11064643,-508518277,-768
-37110418,10703532,-508630836,-1132
#!,zero-counter: 18
-38333147,11350628,-508313940,-5460
-35804425,9632982,-508647870,192
-40255315,12104196,-508607545,796
-38509517,10929558,-507519700,-3412
-36577568,9644742,-508408866,1740
-37460499,10197803,-507770731,-1132
-38030899,10487336,-508194171,-128
-39351610,11330999,-508129964,-340
-38040082,10523187,-507688152,-2948
-37040261,9949689,-508193725,-364
-38009000,10535906,-508023170,-1024
-37605787,10348164,-507988409,-536
-38266677,10758771,-507870853,-1080
-39019216,11235973,-507884409,-912
-37960083,10581394,-507809400,-1440
-38552080,10944268,-507704751,-1004
-38362366,10877119,-507733336,-832
#!,zero-counter: 52
-38557973,11161937,-507390029,-1088
#!,zero-counter: 652
-35499974,9750745,-507503698,-1060
-36686070,10498302,-507375442,-1052
-37659483,11076493,-507280967,-1344
-36734039,10513035,-507469196,-1328
#!,zero-counter: 261
-30790329,6154263,-509803207,-1408
-29464426,-276710,-509811013,-2728
-46196233,962312,-509500865,-3080
-53561840,-3312755,-510034173,-2764
-62215657,-1982881,-511727653,11052
-57003810,-7858833,-513632408,-1352
-55355605,-10013445,-513467968,1904
-54690924,-11362929,-512158418,-1344
-49405480,-16019451,-511912620,-3816
-41358630,-23527677,-513105332,-2112
-41582950,-28820009,-515076789,-4832
-47535048,-32874830,-517027016,676
-53189166,-37350589,-518308582,3052
-58184066,-40427678,-520184671,2800
-60475094,-41495986,-524141469,2720
-58737010,-40765038,-531113517,3240
-53057353,-38756182,-541160154,4380
-43986567,-36454579,-553304000,5800
-32295426,-34661502,-567166589,5928
-18351482,-34064313,-582376343,5012
-2361465,-35019731,-598439591,4696
15324585,-37597434,-613927850,4652
34401750,-41875684,-629911500,4304
53873642,-47778863,-644442768,3844
71938042,-55120416,-659646653,4168
87175759,-63240153,-674294215,3952
99066512,-72023171,-688114550,3280
107262949,-81431255,-700956005,3364
109517005,-90352505,-712682076,3548
108585839,-99522439,-722756768,4360
105151084,-108810256,-730917700,4508
100092397,-117822908,-736932652,7320
96398464,-126618059,-740721650,8260
92864950,-134288681,-742453417,8424
90367970,-140844858,-742342037,8032
89417500,-146362182,-740839529,4092
90016200,-150642737,-738591220,14992
92511176,-154216333,-735793281,5208
91891530,-159482190,-743675116,6764
91376991,-166360789,-752439640,5072
87873400,-172173605,-761065042,4916
82314924,-177968988,-768046597,11348
74001225,-184183916,-774572928,8812
67339669,-196806438,-779733358,10008
56936433,-208810634,-786187648,16700
40871231,-213713712,-793692439,9640
22461189,-212102141,-800879734,9936
5344964,-203955253,-808040067,6348
-4286448,-194095761,-810566776,5968
-7912817,-179779409,-813122429,6276
-5066477,-162711476,-814071352,4676
5872712,-148098524,-812461966,9280
21597292,-139701770,-813302522,21984
35170413,-136294198,-816899408,19400
41273588,-132458051,-822416265,28800
43792649,-128097448,-827971017,18716
44844418,-121685133,-833305510,17008
47354126,-116145420,-836174833,13176
46851130,-108393783,-841714250,12708
43917953,-102308012,-847802798,12732
41372930,-97438762,-853558600,14628
40656368,-94145085,-856042534,16532
39988495,-91043148,-858700705,19276
40650617,-88303221,-859355761,24824
45177722,-87582175,-856499838,14136
53058271,-86532166,-852764277,10096
64992452,-84894995,-848235299,7816
77945177,-78885693,-842446466,3392
89492384,-69776050,-832319036,944
114928886,-73739544,-817967497,-36
140248506,-77639286,-802928110,3076
162479322,-78869435,-790652039,6216
181080231,-78707111,-782170351,5768
196414091,-75864108,-775375192,4456
207726018,-73766627,-772064833,4692
214611457,-71411762,-770139100,5240
219082020,-67903113,-768594532,5688
221003239,-62029879,-765933324,6724
219985751,-55483093,-763795105,8248
215056447,-48399543,-761996662,11472
205402000,-40499689,-760376426,15212
190886187,-31379367,-758915858,14744
172583607,-20983707,-757657389,5528
153930768,-10999192,-757870845,5536
136012369,143503,-757018251,8164
119332520,12724163,-756676557,8404
107018656,25197665,-756652875,8660
101796136,36309040,-756523711,8404
104806328,43803185,-756616684,5524
105490959,53278097,-757640833,8776
103493678,63573980,-758991745,7740
100089598,72185460,-759975281,9152
97627435,79147680,-760194009,9500
97661720,84408850,-760373752,11112
98538643,88711403,-761735881,11356
104419170,86556322,-765346312,12916
109096557,83131480,-770141208,14276
111644291,78956057,-775192840,14684
111211174,74468365,-781009951,13828
108945636,69507922,-784274958,13396
104476061,65315281,-786071364,14088
101058054,60086343,-786638839,14252
99497368,54162625,-786288409,12692
100466975,47083574,-785549870,10812
103978702,39843061,-784717162,10020
110314843,33426137,-784332166,8872
116938609,29720266,-785267729,8164
123187645,27148831,-787479829,9220
126568609,26273754,-790149366,10432
128551174,26102070,-792073813,11544
