#!,zero-counter: 1369
-83035230,29145075,-504037779,436
-99169851,39846110,-502387424,-2168
-105087313,45601764,-501985347,-312
-97896719,43337609,-505086243,-9320
-81576241,29982782,-510322084,-1064
-77895212,23979611,-513865240,2272
-91154128,24910208,-514338694,3264
-108061863,24311651,-512095770,-1416
-113342195,15325769,-506691722,2016
-118945908,5332992,-499149629,-3288
-124516826,-4397958,-492081685,-3616
-127854176,-13086763,-487618249,-252
-128434514,-19624794,-487469813,972
-125546298,-24863811,-492097807,1200
-118996448,-29857826,-501326261,1996
-109314518,-35247320,-514193512,3092
-97576548,-41301329,-530289439,1456
-86053420,-47525945,-547199612,172
-75693669,-53338063,-563755028,-440
-66360329,-58406406,-580017955,500
-57837397,-62328858,-596053435,1764
-50387305,-64315401,-612000337,2816
-47063128,-62794879,-628667319,4560
-46193855,-58836340,-644984812,6632
-45133161,-53114239,-657263310,8464
-45170917,-46342360,-664962898,8444
-46136954,-39232924,-668404541,8128
-48297959,-32076749,-668337872,9168
-49765649,-26659675,-665868870,6580
-42032209,-17020806,-682466738,7000
-32082690,-11170662,-698598250,2212
-25646266,-8030901,-714293994,2788
-21247287,-9620136,-728495042,2700
-19372788,-14888135,-739772532,2132
-19954226,-22744630,-749242495,6372
-22825186,-32561704,-759636642,5444
-24088955,-47547506,-770543229,8692
-32345060,-55570480,-782199858,9568
-42456770,-58096595,-793061097,11388
-52752592,-56410851,-802066491,10496
-62905464,-51341887,-809347206,-5864
-72194563,-44478345,-815098792,3352
-78532106,-38483070,-819440629,10188
-81981894,-36547304,-822731734,3396
-80423713,-48039580,-825519726,9392
-86153007,-56420096,-830118646,9744
-95978529,-60834346,-834604223,13832
-105644109,-62483138,-838966689,26492
-112449057,-65373351,-843283453,9200
-116017249,-69194787,-847174064,20328
-111777377,-75975002,-848727784,18356
-108341011,-74213504,-849279592,12004
-102190427,-68291064,-849315606,1192
-82136268,-77802842,-847468828,11468
-67263788,-91947337,-844063155,5684
-59440775,-111231716,-838328765,8492
-60176681,-129549261,-831049818,14540
-64770130,-144623163,-824478994,9092
-63907978,-158894413,-819108376,7420
-59534657,-167589731,-815623294,6884
-52294940,-169344416,-813995517,8068
-42019194,-164984905,-813976555,9600
-30897404,-154712729,-815467265,10136
-17531686,-145348416,-817617315,9848
-4049159,-136802990,-821271208,11732
8293600,-129051160,-826037448,15704
18930122,-120808752,-831237859,29792
26729776,-111742724,-836133326,17476
30294456,-101209153,-840400864,10948
29441717,-89970964,-843796419,5736
23071025,-77689365,-846439546,14612
13304708,-66723648,-846276327,22216
6482170,-64680891,-846013631,24656
-550940,-66398047,-844938862,20956
-4930788,-72560690,-842934473,10152
-11175786,-73258664,-840790244,9768
-17319211,-72635125,-837377451,3216
-23483074,-72048203,-830884161,3980
-31138986,-68684069,-822032235,4456
-40618052,-63730963,-811107872,7380
-51742885,-57928476,-798544603,9420
-63401297,-53821282,-786477185,14344
-73740106,-55362266,-777113865,19668
-82943852,-60544487,-771893112,22592
-90759535,-64868973,-771056606,18312
-94304609,-68327650,-774207555,10348
-94161096,-69672999,-780814494,11392
-90375378,-67718752,-790596848,11368
-82502882,-61403822,-802402938,11872
-68867551,-52135062,-814820930,12236
-50978956,-41453992,-826051134,14096
-31479178,-32619935,-835283314,14296
-11373602,-24468661,-842546218,14500
8337587,-18696024,-848117278,12312
23478209,-14060917,-854593528,10096
36932944,-12126614,-859463034,10096
47722937,-10625572,-864619707,11944
54387387,-8436125,-871068238,13556
56761133,-6376555,-874509147,16192
55052660,-5298783,-877522089,17660
50746963,-4317285,-878709756,18580
46384454,-2882061,-879840734,16712
43385445,-1056814,-882258835,15924
41401375,1362943,-886253085,15044
39387817,3741829,-889777514,14852
36527821,5491269,-894050378,15660
33213497,6324244,-898642092,16116
29953238,6136314,-903016334,15936
25365880,4866789,-908429551,15884
22928525,2779720,-909213751,15356
21773231,1697112,-908658909,13800
21304912,916716,-908038000,13472
21567824,878057,-907590752,13812
21869137,995328,-906855970,14612
22227993,1259075,-905621055,14476
22583514,1801183,-903848076,13956
22999287,2446050,-901590601,14164
23325026,3107612,-899015622,14088
23742133,3618313,-896414540,14144
23861712,4021323,-894156978,14444
23606626,4260194,-892306168,15192
21687971,7320135,-887362905,15412
18630211,10398356,-881521007,15256
21457126,11447364,-879512503,14516
21570478,11462848,-879763557,14088
20807063,11188182,-880063998,13820
19459655,10565990,-880360076,12896
17343172,9462376,-880879599,11876
14094170,7982243,-881731493,11816
10269672,6393483,-882932067,13364
7819644,4695273,-883893790,17488
6688389,2062448,-883873669,16064
6637469,648373,-883574890,15576
6565415,-500633,-882722026,15124
6501253,-1470370,-881601788,15384
6213172,-3592685,-877907665,13540
6376958,-4431556,-876838845,15908
6720993,-5147215,-875740916,15888
7141420,-5715956,-874596411,15396
#!,zero-counter: 153
20111671,-6539058,-781891149,13980
18920372,-5860341,-781403841,13260
18032552,-4904776,-780579436,17848
