#!,zero-counter: 1782
-142543047,54017444,-565518311,-992
-143231792,54486677,-565385851,-980
-145895470,56419195,-565217145,-768
-144123023,55143534,-565416930,-1240
-143433955,54613993,-565419521,-1180
#!,zero-counter: 572
-191828773,75057721,-571348959,-692
-198816854,80965980,-570511191,424
-207099665,88253474,-569341562,-1040
-212563096,95631477,-568676232,-44
-208868482,100672713,-568824952,-700
-203750572,105674839,-569533274,-1872
-193526307,106196657,-571306748,-2840
-185841092,102873062,-573768408,4516
-181481941,98085250,-574105459,-2008
-185223339,97885076,-573526254,440
-188618765,98180545,-572931702,820
-189542275,97735288,-572466285,104
-187998642,96286303,-572343175,716
-185129341,94009749,-571875789,-568
-183295132,91615716,-570378214,-748
-184226843,89666546,-567839728,-52
-186536495,87226895,-565195411,884
-188506882,83637027,-564114782,676
-188901676,78491617,-566046549,964
-186296494,71348285,-571953562,2324
-180339301,62403631,-582521059,2700
-171153725,51993392,-597480643,2468
-159776061,41200623,-614384628,3984
-146642845,30498264,-631058660,4096
-132039854,19809491,-647364623,3864
-117325740,9634228,-663170523,3324
-103892795,496208,-679535647,2708
-92531916,-7833614,-695458439,3540
-84014454,-15014585,-710977255,4464
-78615105,-20576583,-724425288,5360
-76052604,-24612170,-734791715,7192
-75449555,-27361479,-742485293,6676
-75742550,-29365817,-748363441,6620
-76463271,-31145361,-753213013,6196
-77061786,-33215066,-757198531,5188
-77405536,-35601611,-760188979,3912
-77408839,-38746113,-762034759,4820
-77306014,-43092146,-762417755,3600
-76939412,-48569716,-761641529,3536
-75054392,-55513474,-758556213,3232
-73143743,-62496786,-753182179,3544
-75666572,-63923569,-746160145,-2428
-80304677,-61891123,-737817948,9492
-88786340,-55170856,-730459942,1452
-101961183,-52438047,-745303829,476
-108796462,-54572016,-759583652,1692
-122072729,-46385461,-774329374,1504
-133118886,-37069371,-784317208,4104
-142805356,-27365506,-790874484,7976
-151514662,-18427298,-795591583,10792
-145466568,-31439270,-800351422,11204
-141095908,-44793365,-806115517,2208
-133589224,-58300841,-811978655,5868
-124155789,-67449845,-818003808,6988
-113170617,-71734090,-824331769,10576
-104648343,-69032427,-831825287,10012
-100672481,-63292068,-838961631,20800
-103032233,-59289956,-843988118,18544
-117036031,-53161581,-846436939,17368
-130964262,-49704507,-847207160,16344
-140639396,-46290227,-848351300,16200
-143251548,-43508572,-851171454,16148
-140185114,-40843047,-856071520,15500
-131577572,-39279155,-862152097,14108
-118220332,-37957521,-868049795,9216
-99100586,-37720421,-872977569,8976
-74926733,-37470680,-876888815,8632
-50407405,-36620121,-879620472,9012
-27524436,-33366671,-881415377,9068
-8505505,-29868880,-882356454,8984
1476847,-25327710,-882710758,9428
2689840,-18463534,-882641845,8440
-1224466,-10256127,-882098145,11008
-6089238,-1691737,-881160743,6920
-8354358,5476438,-880208138,4180
-8662288,12987332,-879479718,12160
-8429641,21573801,-879023349,10040
-9753012,31652869,-878805314,8296
-15985058,45457886,-878859109,8184
-25438708,64052665,-879235785,9268
-29489329,72425637,-880311594,11336
-37333340,82857048,-881736732,12608
-43036393,89019121,-883878853,11708
-47946727,93020071,-886264089,7812
-53024744,95624462,-888855473,7984
-58731536,97107659,-891383223,21792
-64773492,98249336,-893230285,20292
-70502617,99503373,-893906032,14572
-74983476,100290344,-893347194,12252
-78552579,99992534,-891907094,14484
-82144565,98022845,-890386087,14772
-87536010,98792439,-888801423,10292
-93687686,97901334,-887115480,8488
-99330069,93393974,-885594982,8620
-103947675,85988410,-884280603,8936
-106051702,76357990,-881248740,9732
-104303655,66506095,-879351930,11000
-98543485,56987195,-875119654,12868
-87211243,47383059,-871305204,12784
-71413662,36861767,-871061645,14264
-54314812,23793806,-873291342,12840
-38957750,9765048,-876978184,11224
-24425175,-5059976,-879318143,11756
-10005096,-19351803,-883712392,11296
2916608,-30829799,-888236478,13848
12676419,-38856604,-892655621,14664
20437801,-45348020,-896693163,15968
26986642,-51584195,-899871801,14536
32506686,-57862661,-902086158,14728
36363796,-64235369,-901526521,14428
38378387,-70979284,-902353860,14576
38867734,-76925614,-903033353,13492
38820484,-81376091,-902194112,12404
38583268,-84751010,-903199476,9380
38487365,-87135659,-901834202,11316
38113007,-88658240,-899766090,11896
38391432,-90085526,-897021244,11668
38854820,-90655941,-893713271,11300
39151690,-89803455,-889903279,10788
37798824,-86897766,-886108162,10184
31783891,-81970957,-882534326,11840
23844148,-76353932,-879254029,13712
15315001,-67875036,-876248590,13668
5866075,-59220306,-875451040,12272
