x,y,z
-173306390,120677272,-742130018,11468
-170565843,120556242,-743610877,13516
-167114505,121027055,-745828156,13852
-163230922,121739170,-748622764,12656
-160096532,123197421,-750220187,13236
-159370462,124027638,-750533187,11136
-159320756,124803461,-750620784,11836
-159081526,125553993,-750646593,13900
-158364217,126342245,-750695510,16116
-157914939,128128006,-750280793,12928
-158420989,130454180,-748848313,13460
-160206210,132784459,-747496598,13508
-162936517,135578575,-746248536,13544
-165078118,136779769,-744756998,13496
-173093610,139509723,-740979627,13204
-178386915,140125946,-739244220,12812
-178904548,140515899,-739179137,13144
-179357707,140625248,-738783721,11728
-180038861,140709681,-738313256,10168
-180872862,140426110,-737887877,10028
-181500042,140329146,-737680383,14468
-180671166,141131919,-737963425,15308
-178347429,142776988,-738680686,12968
-175431705,144940038,-739448883,10980
-173410103,146425476,-740171578,13656
-171245616,148056319,-741108199,13456
-168324335,149752567,-742254077,10532
-165154460,151781788,-743758997,17540
-161744876,156329063,-744985973,12628
-156160019,156660755,-745833650,13056
-156092179,159961514,-744657233,14216
-156531167,159919826,-744921238,13420
-158853131,160486145,-744319802,13900
-161698280,160433711,-742803361,13908
-165162305,159887913,-741722472,13308
-166984322,158183412,-741477227,14536
-166955743,155316258,-742082689,13460
-165934306,151772169,-743116058,12192
-164173306,148952357,-744050543,12816
#!,zero-counter: 127
-146132352,132298647,-759189018,13796
-143724212,132235000,-760460939,13824
-139328456,131642631,-762825613,14892
-134086466,130624590,-765979954,14828
-128465883,129170869,-769696439,14368
-122897533,127451076,-772824087,16972
-116613794,124739789,-774442949,17544
-109168100,121810813,-774525945,16712
-99886682,118500729,-774232051,14940
-90113006,115396548,-774606869,12828
-81204628,111530241,-776560141,9788
-72697227,106010566,-780521945,10072
-64037935,100498545,-785664812,10076
-54904559,95497004,-791068486,11228
-48629554,91312882,-796171187,13312
-47085145,88377149,-800168613,15180
-47971548,87049858,-802523420,14464
-48905241,87646127,-803174083,12804
-49246447,89667517,-802673636,10784
-49312955,92741400,-801666241,9688
-49504355,96072600,-800630233,9244
-50163969,98609476,-800242959,9052
-51880153,100070514,-800897923,13120
-54971321,100527190,-802662715,15472
-59794463,100577210,-805084861,16660
-66473896,100541169,-807388970,16860
-74472642,100700148,-809066079,15488
-82295402,101228032,-809743470,14880
-88376240,102483306,-809696864,14848
-92379677,104228429,-809550191,14932
-95141165,105852410,-809740296,15620
-97449495,106793637,-810216902,14268
-99098724,106941409,-810666280,14112
-100139965,107360808,-811047384,14536
-100559267,108206933,-811366002,14960
-100966610,109113759,-811761352,15256
-101815075,109618774,-812348307,14588
-102731907,109443019,-813003475,14680
-107041708,107839915,-813543750,13744
-107275495,107993911,-813769645,13384
-108388414,108472979,-813550420,13476
-109143782,108520092,-813420839,13612
-110952719,107581116,-812870119,14468
-111735473,107155687,-812705439,14716
-113086206,106612104,-811878160,15388
-113830860,106253949,-811172894,15020
-114337751,106035075,-810310055,14696
-114476966,105918610,-809385504,13968
-114627950,105841602,-808388155,13160
-115228765,105415138,-807444872,12816
-116465749,104680443,-806733603,12704
-118003274,103715959,-806576960,12408
-120115136,102241806,-807002155,12064
-123052521,100168633,-807999831,12236
-125137620,97551980,-809326751,32767
-125264367,95436522,-810250795,15500
-124940121,93451230,-810198828,15340
-124621403,91760737,-810145745,14888
-125688315,90035982,-809242828,14796
-126588209,88744793,-808389864,14556
-127980617,87683281,-807717009,14464
-129024936,87894093,-807201204,14904
-130580100,88107843,-806673404,15096
-132468349,88294619,-806177901,15200
-134466325,88361256,-805869083,15320
-136104058,88077279,-806029595,14540
-137351563,87882925,-806793209,13280
-138045727,87985654,-807573886,13848
-138972302,88602881,-807449794,15380
-139575516,89564942,-807877277,12284
-139187053,91498920,-808893048,13860
-136966977,93704720,-810498167,15688
-134573161,96882169,-811897712,16660
-132695505,100524967,-812645701,15592
-132427510,103468708,-812360186,14568
-132681812,104978415,-811421053,14592
-131673690,106432578,-810756662,14500
-130328569,107311846,-810406455,15556
-129985130,107086699,-809105618,12212
-131956730,105396072,-805113874,13952
-132831851,102638209,-802312821,16276
-136411687,97724809,-799025826,14636
-138128317,96130571,-797579122,14556
-138788540,95805191,-796638063,14588
-140127575,95929896,-795663681,14484
-141540733,96017798,-794498787,14928
-142310842,96327732,-793611556,16448
-142106782,97266652,-793334912,11172
-140235207,99729734,-793397531,18148
-136936352,102900624,-794238059,15460
-134717786,105834764,-795489843,14500
-134118347,106815521,-795728541,14432
-133144667,107507457,-795770276,14244
-131471401,108416818,-795888514,14248
#!,zero-counter: 84
-127023558,108446345,-789303266,14624
-127225444,109271038,-788866607,14620
-127147335,110099287,-788385384,14584
-127276585,110721253,-787131371,15496
-127775483,110544812,-785043296,14848
-127823984,110298951,-783493175,14132
-127566873,110575627,-782362880,14244
-127196992,110947767,-781293977,14180
-127141584,111222141,-780050567,14096
-127196346,111685639,-778697021,14744
-127152538,112342651,-777337944,15256
-127015117,112923656,-775849141,14320
-126863067,113432654,-774289304,13588
-126690202,113827035,-772866311,13068
-126607152,114202108,-771979228,12676
-126874873,114354277,-771341809,12304
-127726995,113820313,-770788906,12292
-129463388,112789082,-770347780,12640
-131599494,111623094,-770055389,12736
-133616466,110175319,-770112225,13708
-136011127,108428401,-770538875,24192
-138556450,106509564,-771228097,15016
-138564951,104484490,-772330765,14368
-138283411,103252775,-773063079,14716
-137952769,99702785,-773533063,14672
-138087169,100701983,-774421764,15776
-137359119,101961003,-776376903,13728
-137109449,103348629,-777738966,14924
-137970408,104217289,-777213524,14344
-138442695,104769274,-776661664,14440
-137187893,106062569,-776500031,13916
-136680033,106782995,-776050521,14688
-136598897,108001867,-775228692,14264
-136796025,110443683,-773796072,11636
-137046660,112274483,-772906203,15196
-137307125,113339736,-772638579,15052
-137396491,114334855,-772327358,14716
-136388660,116791477,-771532171,12648
-135981697,117842017,-770836609,14700
-134470016,120520251,-769918143,14400
-133057277,122786124,-770436828,13072
-132635140,123503482,-771143855,14300
-132127526,124333873,-771891753,14576
-130604995,125188126,-773807891,15552
-129151565,124836550,-774608457,14376
-128362785,123551992,-775772304,15044
-127856712,121862667,-776705741,14524
-127556311,120348673,-777465811,14108
-127679998,119209775,-777903761,14600
-128183626,117988667,-778401212,13560
#!,zero-counter: 82
-129451499,118140966,-778809051,14376
-129633457,118797842,-778367091,14408
-129792841,119539307,-777819682,14412
-129918323,120209473,-777206177,14636
-129984214,120633649,-776224659,14648
-129853355,120997813,-775091550,14076
-129475302,121563898,-774046037,14152
-129158439,122311218,-773031370,14152
-128930221,123085263,-771924846,14456
-128635713,124105600,-770466344,15580
-127998488,125339530,-768451742,16056
-127050499,126776963,-765664852,14540
-126094901,128238051,-762252623,13320
-125264676,129617754,-758598565,12004
-124588718,130814469,-755218197,11176
-124108100,131853149,-752697647,10876
-123975830,132527801,-751093726,10908
-124463512,132754882,-750323758,12424
-125411469,132691850,-750133181,12644
-126696470,132580109,-750276142,12820
-128224915,132218346,-750503402,12976
-130226256,131398893,-750864070,13080
-132751544,130106008,-751062734,13064
-135530044,128647390,-751288688,13532
-138496979,127092080,-751900770,15096
-141668701,125150661,-752921468,14180
-142849921,120671390,-755358869,14676
-144346106,119323548,-755284776,14676
-145185000,117876675,-755902997,13456
-145678866,116938125,-756549945,13088
-146231257,116767734,-757029402,13596
-146634346,116990241,-757932217,14792
-146461451,117725965,-759659570,13564
-144853831,119487031,-761312985,16556
-141787379,121644417,-763373511,12640
-139087138,123447048,-765525424,16388
-137587900,124571998,-766188762,14040
-136491342,125874103,-766096338,15280
-135695297,126961318,-766159989,14896
-134735996,126950120,-766480996,12904
-133760742,127507858,-766459190,13200
-134205580,128167223,-764324667,16684
-137013610,127834822,-760904527,14036
-140141815,126455663,-758483786,13568
-142938413,125481754,-756303671,13852
-147198010,123907138,-753525575,14100
-153438319,120363010,-749400927,11596
-158979663,117043287,-745830865,12088
-161065652,110535368,-745219626,15348
-155740747,112757015,-749284668,15428
-151215107,115484156,-752368366,17404
-149127893,117213594,-753742810,16332
-147714265,118087729,-754671085,15604
-144920372,120019258,-755868942,10796
-142290251,123119957,-756976291,13912
-141672687,125037357,-757669450,14048
-141317482,126295477,-757968377,14312
-140677743,127698252,-758121528,14200
-140601326,128877001,-758079893,14188
-140638254,129943962,-757911619,13944
-140516879,131065256,-757844080,13688
-140106633,132196655,-757882109,13596
-139621774,133378161,-757864962,13532
-138803406,134382366,-758105480,14600
-136534700,134395187,-759844409,13772
#!,zero-counter: 91
-137057616,136261196,-761412922,14384
-136331604,136750000,-761024625,14360
-135635181,136992390,-760337414,14860
-134690445,136677152,-759227656,14580
-134450500,136373569,-757597518,14136
-133931391,135597906,-755648637,13588
-133240537,135100847,-753516032,13332
-132770124,134947215,-751214585,12756
-132689038,134960122,-749104464,12484
-132856971,135045272,-747365544,12532
-133101978,135232511,-745995432,12488
-133452219,135555600,-744860263,12040
-134267151,136094655,-743737379,12792
-135436294,136602755,-742447331,12836
-137030155,136941080,-740922292,12516
-139121596,137062063,-739182487,12756
-141523906,137386662,-737352581,12660
-143890961,137481343,-735938093,11740
-146078359,136941424,-735559495,11440
-148350737,135803646,-736070383,12092
-151155442,134010046,-737370172,16840
-155087797,131726944,-738993588,14392
-159601328,129116704,-740083971,13344
-161733282,128890328,-739746720,13992
-164120422,127253879,-739378008,13120
-167829179,125105202,-737856012,13280
-169598591,120898922,-739210363,14020
-168032120,121245534,-740187463,12328
-166653729,121945040,-740539751,12852
-165101021,122650403,-741185362,13440
-163729571,123698006,-742252230,13208
-162041398,125236935,-743506746,10900
-160757084,127786747,-744737177,13080
-159687953,130402255,-745906471,14760
-158811732,133167369,-746589066,10596
-156921307,136365846,-747954863,13380
-155428441,139920606,-749158628,18040
-154634849,143299341,-750097648,8656
-154343241,145430994,-750742854,14572
-153351923,146986366,-751244164,13752
-151966546,148141856,-751648749,13304
-150414371,148748313,-752882786,14048
-149026809,148253684,-754255085,13864
-148276351,146839679,-755332393,13684
-147995987,144755374,-756208325,13140
-147163108,143374401,-756297506,12868
-146299271,142338569,-756210383,12852
-145834186,141333047,-756088268,12936
-145437016,140559655,-755898719,13128
-146028242,139892744,-755041991,13032
-147159421,139271703,-753579139,15620
-148828872,139157607,-751801079,13500
-150300899,139339068,-750280528,13480
-151309752,139589449,-749473355,13284
-152151720,140281011,-748975383,13448
-152306485,145769698,-745568146,13648
-154207624,145946522,-743873033,14168
-156102985,146079258,-742682787,15528
-155561409,145076165,-743430083,14704
-154780360,144179218,-744262773,13640
-154157136,143494007,-744422810,13532
#!,zero-counter: 103
-152584437,143878974,-749393222,13800
-153092861,144540064,-748851923,13916
-152786331,145426861,-748268451,15388
-151250751,146680589,-747532481,16520
-149103420,147681840,-745779834,16248
-146992394,148111549,-743026913,13252
-145180673,148511997,-740384803,11528
-143575986,148705938,-738468087,11048
-142339094,148708415,-737310746,10864
-142139684,148915711,-736611431,10000
-142625360,149502196,-736164642,9976
-143770369,150752524,-735998134,12164
-145017994,152243313,-736083054,13232
-146353499,153716958,-736250490,13876
-148093720,155199532,-736194648,13532
-150031281,156074245,-736056562,14168
-152231359,156109430,-736001913,13992
-154353681,155391998,-735996044,13064
-156371374,154164421,-736017509,12896
-158386948,152730238,-736187078,13440
-160551220,151434994,-736534923,17968
-163447656,149107289,-737184373,14220
-164140869,147860852,-736410737,14228
-164574890,147123297,-736213381,14548
-164658609,145910379,-736424367,13468
-164189190,145091337,-737063051,12656
-163338091,145085480,-737844200,12988
-162319804,145610002,-739317540,11924
-160841721,147004457,-740739758,13244
-158638529,149013014,-742406003,10476
-155817931,150765293,-744212799,10640
-154398128,152669425,-745411841,12220
-154161783,154047586,-745454557,14868
-152500887,156619043,-745622254,13128
-152905916,157782511,-744475299,14100
-155649490,157725107,-742022232,14956
-159771627,156832192,-739547202,14300
-162819894,155844463,-737712776,12040
-164199467,155084703,-736646729,13868
-164728250,154607261,-736403243,13212
-165726418,154604614,-736487649,13368
-167412470,154443720,-735751188,12800
-168350412,156501099,-734704449,11444
-167376556,159975224,-734674665,13188
-165535524,163363422,-735676215,11048
-163014440,166297948,-737073003,15552
-161332532,169117210,-738257019,13944
-160122953,171105304,-739145023,12760
-158944116,173244178,-740035544,13156
-157741047,175373359,-740555909,14396
-156881379,176970735,-740890255,13504
-155079130,177705794,-741868706,12936
-153373840,178973990,-743482385,14140
-151754022,179548144,-744501021,12500
-149981281,179102371,-746021244,11788
-148294643,177844302,-747958613,11476
-146790016,176431312,-749407328,13344
-145452898,175517296,-749961905,12804
-144590243,173045810,-750617199,13324
#!,zero-counter: 89
-143162121,165100296,-754316707,13240
-143445552,165243844,-754799875,14544
-143546095,164596193,-755655943,12968
-143348424,163810534,-756399224,12828
-143137595,163144254,-756866275,13836
-143406218,161896061,-756263411,16748
-143476816,161247529,-754547702,17092
-143047567,160005585,-752588333,16060
-141619504,157993153,-750980313,16120
-139226752,155948149,-750006116,13020
-135323473,153350878,-750796216,12196
-130501839,150639716,-753823761,11372
-125547998,148666448,-758349790,10156
-121259198,146985244,-763628726,10508
-118316199,145722673,-768780578,11828
-116518440,144883664,-773213230,12572
-115556342,144188141,-776365485,13168
-115012742,143021545,-778169959,12000
-114234704,140993937,-779048315,10600
-113363389,138578483,-779777971,10168
-112445707,136106039,-780986122,10944
-111600344,133963820,-782695967,13048
-110788913,132389045,-784790365,14100
-110381392,131606089,-786748820,14904
-110538175,131253292,-788225458,14896
-111225345,131196440,-789289398,15648
-112661269,131397089,-789706978,14040
-114159334,131591839,-789286705,13136
-115621737,131491135,-788521826,12484
-117304684,130574825,-788112457,13084
-118680700,128970342,-788627899,14012
-119811186,127009458,-790196146,15152
-120678677,124755830,-792508796,16108
-121491121,122337556,-794966694,15800
-122216582,119971520,-797386009,15208
-123161379,117712508,-799312213,14588
-124419757,115441140,-800468200,14580
-126352242,112946697,-800837967,14424
-128589496,110291973,-800691346,14024
-130621730,107914951,-800388762,14008
-132144693,106109007,-800312336,14488
-133694788,104582627,-800477877,14568
-135362293,103232525,-800969930,15256
-137082259,102060653,-801665433,15216
-138749919,100945409,-802291228,15408
-140526365,99676699,-802793024,16272
-142573780,98077183,-803151434,15340
-145108958,96068708,-803230700,14272
-148200991,93702643,-803123996,14256
-156157273,83590318,-800316071,14672
-154141311,84890172,-800980145,15192
-151212855,87086470,-802160403,15104
-148354912,89503895,-803620117,15260
-146022184,92603374,-804781663,16268
-143657729,95870805,-805873701,6368
-140614681,99872636,-807500710,6080
-139755440,103559540,-807481652,16092
-139861251,105469784,-806696997,15048
-137922352,108502717,-806966085,14636
-137387412,110507916,-806540185,16444
-136746910,111224307,-805838480,14568
-136691014,109583782,-804545641,15764
-139883183,108357909,-800895948,13312
-143278290,107097941,-796264211,15272
-144296810,106822727,-794057826,13712
-143619814,106998469,-793434574,14664
-144415251,108145760,-791882630,13644
-144266043,109409622,-791394002,15080
-143533680,110388560,-791279882,14240
-141754066,111859172,-792100600,12748
-139292012,115165601,-792976000,15496
-138867887,116837109,-793212114,15288
-138347882,117776003,-793063234,14712
-137592383,118678073,-792776153,14824
-137117931,119710231,-792469512,14420
-136823160,120718284,-792178227,14404
-136642537,121584855,-791840808,14316
#!,zero-counter: 48
-141993682,119001243,-784824673,14476
-142690929,118827198,-784525871,14672
#!,zero-counter: 17
-142497952,121029938,-781589192,14876
-143030412,121342707,-780374225,15612
-144110515,121261628,-777948967,14632
-144789724,121293092,-775373308,15292
-144600548,121808666,-773569331,15472
-143860228,122621745,-772077067,15368
-143060084,123548970,-770344466,14924
-142599250,124203599,-768402510,14176
-142573744,124368280,-766478658,13224
-142968145,124247291,-764696464,12832
-143834079,123932440,-763080460,12604
-144940234,123223111,-761774618,12784
-146030004,122702506,-761284528,13200
-147011174,122433530,-761531902,13784
-148013659,122211483,-762095362,14412
-149026551,122013789,-762727123,14988
-149849757,121917724,-763399473,15300
-151746315,120836840,-764131064,15112
-152037791,120250231,-763810394,14308
-152281498,119723879,-763433301,14080
-153619941,118870859,-762464205,14348
-153895257,118134163,-762374792,14524
-154703341,115148088,-763007820,14412
-155215371,114529354,-763004470,14360
-155579325,113942088,-762944100,14120
-154851795,114686797,-762618208,13308
-153454902,117398061,-762334810,18924
-150902521,120085620,-763492907,12840
-148473305,122540470,-764641661,9596
-146107433,124770014,-765641971,16100
-143158583,128399224,-766887913,12444
-141181878,131677994,-768282366,18592
-140034809,133306379,-769220207,15644
-137825114,134788045,-770945038,6704
-134226163,139150097,-774209895,7432
-132262166,142825764,-777113759,14020
-132069250,144607545,-778846786,14424
-132982910,146085617,-779468685,17320
-132969507,146415464,-779891734,14248
-132726906,145923592,-780752685,14336
-132516964,144869475,-781288780,14660
-132755163,143314529,-781318913,14532
-132781288,141187793,-781324109,13700
-133443240,139102986,-780762980,14032
-134137743,137387905,-779535642,14768
-134906619,135635233,-778095274,15940
-136159118,134721480,-775904805,13932
-138135067,133640771,-772635001,14280
-141399507,132132430,-768862800,13800
-143648611,130283275,-766051545,13012
-145424182,129010930,-763986265,13652
-147011811,124946800,-763841513,14996
-147422353,124098762,-763658033,16128
-149196347,121660643,-763269984,14944
-149737114,118139858,-763380101,15324
-150728152,115007306,-763684696,13292
-151273591,111549618,-764366729,15252
-151433863,108511650,-765324819,13952
-151839448,106472764,-765711009,12484
-151430527,105518122,-766027258,13528
#!,zero-counter: 149
-153697697,105377039,-768061865,14596
-153940588,106710928,-767203961,14544
-153899530,107857441,-766414199,14648
-153975065,109579778,-765265746,15592
-153427949,110660352,-764088608,16360
-152642092,111631098,-762668528,16260
-151549105,112818887,-760942584,15056
-150056612,114269204,-759098668,14356
-148401198,115772528,-757200681,14128
-146960670,117273827,-755085552,14180
-146078538,118459227,-752592388,13984
-145879725,119129195,-749807114,13540
-146290591,119638570,-746958166,13080
-146937590,119505448,-744436053,12132
-147829534,118804738,-742647867,11472
-148929592,117829136,-741787797,11816
-150205899,116796131,-741651921,12520
-152043274,115405703,-742030586,12676
-154491391,113507635,-742624976,13008
-157355253,111369030,-743442306,13780
-160721198,109127857,-744326818,14376
-164081074,106470153,-745108067,15248
-167501954,103848490,-745641557,15136
-170335368,101299624,-746010192,14544
-171259379,99989039,-746310805,13780
-171707580,98791560,-746627340,16040
-171847776,98167488,-746453066,17452
-171214278,98989070,-745977603,11168
-169160880,102102428,-746409635,13156
-165348642,106627133,-748034188,13832
-161910701,111259460,-750286832,22340
-159701111,115671249,-751645775,13620
-158351046,119297064,-752602291,16616
-157338465,122271640,-753644906,16636
-153817749,126833001,-755829779,14596
-151558009,131297167,-757358345,14104
-151812794,132997616,-757495083,14944
-151175069,134014637,-757186314,14440
-149652663,135316594,-757509521,13568
-148775369,135641756,-757487970,16352
-149797328,134060834,-756302056,12476
-151867661,130857079,-753586162,12756
-155327649,128470406,-750056615,14424
-158587062,124973782,-746952621,13888
-164181813,119526816,-744094495,13160
-160530039,122792840,-747991904,14800
-158719617,123737606,-749712053,15140
-157025610,125338405,-750891252,13916
-154415086,126840186,-752870765,13744
-151600625,128103647,-755239598,12160
-149571447,129443903,-756833168,12864
-148887654,130045687,-757017880,14272
-148567912,131687474,-757656439,10888
-148625489,133168060,-756994114,15640
-149070251,133875851,-757099953,14768
-149465239,134852008,-756281230,13368
-149789987,136981011,-754235349,19360
-149981556,138269361,-753333920,18796
-150004568,139486271,-752495528,15368
-149490488,140571803,-752159720,17212
#!,zero-counter: 45
-146366557,139871843,-754835411,15744
-146393876,138535705,-753473623,16524
-144807056,137948706,-752066072,17564
-142061576,137887613,-750827698,16648
-138651212,138044894,-749504216,15308
-135074932,138039188,-748204862,13960
-131675178,137371036,-747238624,13216
-128432448,136235089,-746577053,11580
-125926210,134497187,-746203453,10000
-124444637,132253569,-746283778,9964
-123658075,129888479,-747040596,10256
-123417552,127890239,-748388805,11992
-123133517,126781380,-749946062,12132
-122520799,126658385,-751682361,11712
-121676184,127144755,-753644983,11516
-120852080,127729487,-756026260,11716
-120297160,128099197,-759007436,12620
-120032578,128069299,-762380031,13372
-120032849,127623590,-766053309,14180
-120417429,126871566,-769747961,14472
-120875087,125770701,-773257537,14744
-121428281,124542130,-776458683,14704
-122212403,123263008,-779598664,14724
-123182549,121881845,-782859639,15324
-124227546,120567455,-786044895,16568
-125269461,119017660,-789032638,15924
-126393920,117001042,-791589812,15240
-127770429,114418172,-793486549,14892
-129164113,111658447,-794856786,15276
-130131757,109353832,-795931302,15320
-130822002,107582315,-796802426,15168
-131320025,106480274,-797543297,14724
-131322800,106154070,-798243450,14328
-130928950,106631863,-799218516,14244
-130213410,107059494,-800412981,13532
-129695060,107224940,-801316279,13236
-129329154,107256165,-802054705,12844
-129208649,107088175,-802827031,13792
-129507809,106618517,-803672923,27084
-130294887,106017736,-804721668,15472
-131541554,105386403,-805959906,15324
-133146533,104904233,-807599793,14960
-135131853,104371476,-809369326,15116
-137110256,103550171,-810761142,15788
-138383659,102446953,-811189287,12132
-138209259,101031144,-811385032,11832
-137267425,99905703,-811630938,16208
-135632833,98875304,-811892482,10572
-134338585,97775507,-811413695,8832
-134867380,96686594,-807794797,16396
-135392663,94748100,-803263432,14220
-139476150,92533745,-797452163,13992
-144780966,89786037,-790583631,14972
-150243949,86700571,-783898603,13836
-155588928,83142218,-777311264,13760
-161086902,80141863,-771822258,7804
-162961572,77962682,-769756234,13540
-163578612,77771277,-769089953,22256
-164231696,77804553,-768321173,19224
-165052988,77949004,-767524314,14312
-164361388,78795934,-767787209,15052
-160971599,81260415,-770077594,17152
-156639991,83568064,-773078265,11096
-152076794,86666712,-776398531,15836
-149677028,89194271,-779499053,15604
-148001218,90755923,-781364463,15712
-146393898,92575508,-782163339,14640
#!,zero-counter: 28
-140212627,111218185,-783042530,14532
-140706060,110784347,-782897321,14632
#!,zero-counter: 70
-140626056,112559017,-778248338,15028
-140655400,113440755,-777367435,15444
-140526275,114533571,-775628571,16976
-139683404,115726929,-773622471,16900
-138016143,117100228,-772116801,15772
-136108016,118601655,-770537146,15028
-134630162,120123214,-768507682,14324
-133411974,120936774,-766177224,13100
-132741600,121743304,-764185760,13304
-132288155,122033640,-762360808,12144
-132214373,121790619,-760763589,12248
-132733978,121165917,-759674650,11692
-133447992,120445253,-759533156,12756
-134149916,119835433,-760140224,13584
-135000025,119064652,-761119485,13988
-136190963,117822752,-762045822,14332
-137883852,116019621,-762804759,14992
-139854160,113831252,-763323818,14888
-142112058,111220631,-763449198,13820
-144369298,108340916,-763514782,15376
-146168693,105618901,-763876733,14852
-146255393,104019998,-764686014,14348
-146236139,102483105,-765332137,14928
-146523114,100804510,-765717242,14984
-146155897,101382669,-763630875,13372
-145569530,102238454,-762248795,14188
-146170826,103652163,-759526104,13260
-147915967,104813781,-754849641,12360
-149910679,104711221,-751603737,15688
-149941784,104481820,-750994348,15436
-149851975,104488023,-751681527,14548
-150757990,104781307,-751173840,14600
-151006524,105223492,-750561200,14428
-151397908,105750239,-749896744,14380
-151476680,107061276,-750132888,15360
-148565806,109356339,-753122390,15940
-145384978,111454727,-757434021,15412
-144972704,111945315,-759278307,15120
-144580840,112209389,-760661207,14324
-144183566,112521461,-761299223,14280
-143987944,112858158,-761804100,14448
-141892385,114772239,-762862517,14476
-141743314,115637086,-761262569,11584
-145000956,118913151,-756384657,13824
-145768237,119502937,-754013221,20284
-145691752,119266369,-755537268,14936
#!,zero-counter: 153
-144917050,126540225,-755038564,16488
-143853149,128149841,-753192855,16988
-142013364,130071522,-751667724,16428
-140244848,132717896,-750075875,16388
-137624536,134740275,-747776979,15264
-135315946,136703033,-744966167,14588
-133448204,137781147,-742233562,13196
-132553194,137974911,-739521336,11736
-132261146,137448565,-737090973,10880
-132603396,136702310,-735111357,10556
-133354764,135661995,-733896942,9860
-134493271,134638453,-733594365,11532
-135835867,133819138,-734215795,12176
-137485840,132955471,-735400793,12380
-139873187,131499972,-736794117,13276
-142726041,129671294,-738213202,14300
-145692938,127875643,-739557437,14652
-148631498,125988951,-740775494,14712
-151641384,123685894,-741628736,19704
-154472257,121215545,-742444624,14876
-156376413,119242425,-743299525,14500
-155817427,118227103,-743848780,12180
-153521208,121134103,-744058790,7300
-152086865,124557482,-744109238,10184
-150950493,127524295,-744222312,17632
-150747860,129604340,-744365822,17644
-151223496,130210650,-744444032,15564
-150409545,131380167,-744201657,12640
-148218503,135474451,-743971364,13268
-147860138,137543361,-743934877,15616
-147537687,138409924,-743850645,14216
-146992261,139402047,-743996445,13848
-147220142,138484415,-743567374,14032
-149514170,136997612,-741657641,11880
-152585316,134776402,-739086549,11588
-155926128,131786227,-736381089,14760
-157955232,129410871,-734690272,13108
-157652449,127714506,-734288284,13524
-157784029,126835159,-733966145,13524
-158152486,125689807,-733690514,14544
-158321658,124866205,-735730754,15048
-155681723,125194030,-739545448,12328
-153119425,126547851,-743354817,11956
-150133202,129721378,-747879263,19800
-147510891,132384960,-751795568,24472
-143892794,134120713,-756368959,12180
-142062631,135921832,-759179855,17920
-140584384,137269980,-760648898,14660
-140021184,138370522,-761898463,16968
-140379049,136840672,-762413359,14136
-141071074,136649647,-762245755,14200
#!,zero-counter: 94
-142797057,138694082,-758353062,15028
-142328489,140148088,-756793327,15740
-141425441,141609889,-755444858,15612
-140192326,142927215,-754093196,15156
-138941093,144090639,-751988883,14520
-138075683,144983897,-749333591,14132
-137555125,145507498,-746017074,12824
-137569777,145802711,-742122965,13236
-137964663,145745276,-737845970,13060
-138560855,145425089,-733444074,13084
-138882189,145070537,-729680586,12744
-139411327,145083112,-727040548,11316
-139771359,144870487,-725485509,11804
-140802673,144616340,-724485419,12524
-142114752,143795984,-723924969,12992
-143737758,142694295,-723488513,13088
-145358428,141347498,-722939581,12996
-147393497,140258877,-722179387,11708
-149869791,138894243,-721752558,12104
-152955159,137339966,-721929673,12692
-156204421,135840182,-722725925,15128
-159485684,134393557,-724197443,32767
-165417465,129311942,-726256904,14044
-167276163,127749592,-724749333,13700
-168847061,125760686,-724153341,14392
-169315119,124409543,-724155472,12816
-168687732,123703606,-725473705,14256
-167679571,124783033,-726906544,14564
-166449825,126280391,-728588366,14148
-165160406,127784108,-729868189,12760
-164046250,129263940,-731207026,14052
-162180969,130751189,-733229928,13784
-161138805,131917220,-734061689,12948
-159411056,133888692,-735574397,12352
-158149217,135897561,-736362355,12408
-157626778,137637024,-736811806,18124
-156839879,139088199,-737017465,13756
-156562748,140968614,-736792927,14404
-156671770,142003068,-736486907,15876
-155488710,142396840,-737037587,13468
-155078686,142784225,-736453315,13308
-155721615,143436939,-735226144,14000
-156765692,143882532,-733050810,12816
-158070527,144538327,-731362814,13424
-159029488,144804822,-729808714,10700
-159952923,144207005,-728410116,13072
-161480835,143922081,-727255584,16260
-162810373,143170627,-726666382,13248
-164505961,142626016,-725512814,13724
#!,zero-counter: 71
-160908668,141651055,-734220665,13516
-160584783,142412790,-734329306,13940
-159967003,143255102,-734434970,14112
-158955668,144424798,-734487185,15780
-156941101,145804374,-734530322,16412
-154211656,147383920,-734158167,16360
-151372333,148619867,-733325297,14832
-148698795,149227806,-732496265,13352
-146247926,149141943,-732147014,12668
-143854150,148466473,-732344041,12928
-141258698,147439968,-733058237,12780
-138296633,146281497,-734077116,13776
-134873108,145353080,-735499879,13700
-130800854,144987390,-737218595,12860
-126202655,145515414,-738762585,12128
-121422138,146448375,-740079634,11292
-116871722,147480613,-741594903,10696
-112867381,148386345,-743283313,9924
-109602991,149015957,-745323085,10024
-107241408,149196433,-747738081,10664
-105391510,149088039,-750710135,11932
-103747892,148737674,-754411223,13276
-102232218,148167169,-758793167,13788
-100681854,147312626,-763659768,13424
-99541953,145925122,-768266833,14164
-99567493,143747619,-772296698,14296
-100747873,140837929,-775549739,14280
-102264158,137521216,-778210996,14500
-103945110,134051435,-780517246,14664
-105988796,130650594,-782493811,15188
