x,y,z
-55789690,6447054,-776183043,13872
-55825961,6267167,-778046941,13732
-56007113,6282292,-780422536,14032
-56366049,6683154,-783127940,14376
-56778091,7330423,-785945849,14788
-57272853,8048824,-788418655,15568
-57731603,8618333,-790018329,16004
-57966806,8803126,-790581509,16252
-58161354,7970643,-789292069,15592
-58531120,7235754,-788087140,15428
-58918624,6601845,-786642142,14900
-59198571,6241386,-785220405,14684
-59360184,6104209,-783864835,14316
-59672569,6117493,-782526952,14600
-60101997,6098570,-781088029,14732
-60532021,6079258,-779680524,14780
-61041898,5995891,-778293796,14744
-61582131,5838286,-776750178,15052
-61837039,5669145,-775394923,14680
-61823149,5768140,-774604978,14628
-62158590,7431070,-775227999,14436
-62500642,7850452,-776285755,14756
-62945018,7945564,-777295818,14628
-63609022,7741162,-778201094,14192
-64683960,7125942,-779157461,13652
-66041220,5984134,-780336317,12832
-67769114,4485775,-781754258,12444
-69841845,2806045,-783557965,13172
-69832921,-430424,-785281823,26132
-71172051,-1901168,-786188672,16040
-71746930,-3250042,-786836061,14664
-71890162,-4178810,-787338016,15572
-70791861,-5127751,-786958341,15080
-70326052,-5814221,-786999979,14924
-70061877,-6756102,-787284699,14964
-69866377,-7780910,-787640869,15128
-69768175,-8618046,-787940408,15128
#!,zero-counter: 76
-73256781,-10763365,-782160229,15016
#!,zero-counter: 3688
-122058105,32671254,-782452948,14748
-122813872,32936681,-782365895,15072
-123785069,33210783,-782243247,15248
-125345659,33525380,-782085277,14700
-126172929,33671204,-781979058,15288
#!,zero-counter: 27
-128032646,34792942,-781184921,15188
-129925036,34926009,-780665731,15228
-132232596,35655176,-779799082,15480
-133869028,37217602,-778303795,16740
-134210217,39882740,-775618468,17444
-134046729,42582830,-772341304,17996
-133359548,43900327,-769679568,16608
-132738439,44803336,-767666432,15364
-132580552,45777953,-765816101,14604
-133329957,46995014,-763463064,15104
-135100034,48719723,-760590014,17572
-137770039,51703242,-756415894,19368
-139241880,56503465,-750892603,13812
-141185842,61816200,-744688018,9620
-143874800,66568117,-738924215,7976
-147803140,69155856,-734692459,7536
-151209620,70425723,-732544616,8728
-152045943,70722010,-732667114,10636
-152277724,69426153,-734910143,12768
-152145128,67656549,-738440801,15284
-151350301,65843733,-742178709,20436
-150744294,64637056,-745202732,22016
-150044765,62705137,-746948338,19628
-148819726,60783001,-747564507,13932
-146584471,59002716,-747683205,14548
-144201569,57403767,-748124586,14780
-141828345,55972947,-749008343,14696
-139502696,55294680,-750240998,14068
-137229925,55092048,-751863827,13712
-134926111,54901253,-754131814,14112
-132638287,54595435,-756912356,14200
-130349619,54110442,-759869585,16040
-128308280,53211156,-762488598,14632
-126462282,51856709,-764650166,13028
-123903789,49566118,-766584605,13312
-121379697,46157037,-768582312,13480
-118910647,42281260,-770694460,12980
-117069337,39072406,-773088869,15240
-116189812,36510301,-775598017,16116
-115800438,34656749,-778433997,16256
-115626888,33248210,-781466662,16204
-115301570,30562005,-786938207,14540
-115554937,31705423,-787430577,14888
-116094834,32754844,-787756148,14316
-116806968,33718032,-788076947,14440
-117487057,34433565,-788403328,14944
-117177761,33376169,-788101546,15000
-117355105,32113771,-787635742,14384
-117302834,30990833,-787384947,14736
-116870392,30115999,-787500746,14644
-116249516,28688539,-787821725,15092
-115819477,28048718,-788123407,15084
-115473560,27330132,-788287665,15136
-115837204,26126662,-788231542,14960
-116176332,25576779,-787970023,15148
-115771205,25895608,-787138179,14576
-114604594,27656015,-786890717,14640
-112477466,31361754,-786703981,16288
-109413505,35734764,-788304542,14260
-107839066,38767556,-790277946,15040
-106350402,40625615,-791842735,11048
-104261766,44046664,-793288478,19072
-103694253,46424894,-793703417,17056
-104249360,47230781,-793524775,16020
-103913251,48586267,-793114836,15132
-102687479,50392540,-793116336,14708
-101433618,52391633,-793538727,15120
-101282754,53330332,-793645738,14832
-100729748,53887806,-793775300,14792
-99657545,53990174,-794251483,14792
-98515080,53574594,-794832875,14924
-97963696,52128360,-794924586,15948
-99449208,48282604,-793329509,16580
-101173497,44524668,-791018621,14060
-104514659,40146428,-787341001,11804
-107079940,35668013,-783088969,14176
-110164459,33510400,-779430497,13048
-110394505,32709653,-776550783,13888
-110576394,32867870,-774604614,13236
-111707004,33471993,-772086759,13264
-113343700,34356601,-769526991,13404
-114209018,35635085,-768184144,16372
-114617645,36346448,-768240967,12748
-114094151,37783132,-767642743,20324
-112659654,41115564,-767631570,25016
-111353990,44810494,-769184482,17956
-112196364,47156962,-769562063,15468
-112280554,48362600,-768840409,23252
-108774464,51495597,-772893491,19352
-105593346,52354363,-779398757,12648
-103966011,50894184,-781623270,15192
-103260356,48271489,-783551100,14560
-101733758,46454320,-785102857,15808
-100266295,44986742,-786053395,14876
-100824424,42646454,-785580453,14868
-101602514,43163240,-785134861,14880
-102438244,43731232,-784707913,14976
-103200622,44267903,-784305568,14788
-103907026,44780734,-784020136,14820
-104436745,45198763,-783841137,14876
#!,zero-counter: 68
-105313217,46551234,-786602455,14952
-105884569,47414094,-786280767,14924
-106391192,48497161,-785910676,14924
-106822040,49860277,-785395641,14988
-106810808,51156909,-784850454,14872
-107133243,52588782,-783279155,15544
-107525964,54197789,-780399857,16960
-106508544,56536437,-777628978,17736
-104353728,59344302,-775055501,16660
-101938119,62148818,-772030768,14980
-99577934,64702529,-768673258,13704
-97657103,66946122,-765427677,12392
-96495491,68653587,-762348880,11536
-96227786,70025641,-759303524,11460
-96822183,71194017,-756259369,11204
-97863828,72044409,-753869681,11996
-99172830,72518599,-752644492,13148
-100794751,72731851,-752272186,13900
-102533912,72617663,-752378671,13928
-104667515,72055148,-752725575,14060
-106868579,71049163,-753280120,14252
-108943596,69811511,-753899954,14316
-110905279,68213872,-754700455,14772
-112721004,66398448,-755743487,14880
-113238458,64656177,-757072698,14540
-115567562,61983262,-759236508,14468
-114527502,62641236,-760598474,12528
-112332059,64842668,-762558996,15544
-110518888,67181867,-764059638,16760
-109350961,68923659,-765034017,12564
-108741726,70471325,-765351630,14568
-107465134,72631313,-765320389,13736
-106185447,75134549,-765030131,13952
-105716217,76743337,-764787202,15680
-105333739,77546230,-765002999,14792
-104661584,78418779,-765130890,13844
-105024961,80716627,-763583837,10584
-105812294,81723052,-761809815,15780
-107329709,81685245,-760297891,14148
-110326235,80389060,-757883965,14344
-112528231,78033363,-755771738,12956
-113656718,75102903,-755726502,14120
-114069997,72204695,-756594378,13840
-114678184,69429713,-757619653,14696
-115005352,67449399,-758548947,15268
-114888830,65447869,-760291860,13612
-113852696,63938889,-762546266,14176
-113355277,63200346,-764236278,14596
-112728470,64998773,-765071521,13900
-112972981,65902307,-764933552,14576
-113247492,66812104,-764829455,14644
-113338732,67763869,-764719649,14368
-113062090,68645236,-764735427,14404
-112591499,69551796,-764769518,14292
-112075479,70663381,-764146011,13312
-114696455,74288118,-759227185,11948
-116640664,75752744,-754145474,13672
-117025203,76658338,-753628578,15748
-116523075,78797800,-751333716,10504
-120531662,80896261,-746342424,20544
-123115439,82008570,-743706298,14792
-124494662,81068704,-744770395,13992
-124750933,80459228,-745217218,14244
#!,zero-counter: 65
-126439038,83393593,-755191018,14192
-126685315,84002748,-755215042,14116
-126974115,84575060,-755283788,14048
-127284359,85049128,-755328157,13992
#!,zero-counter: 16
-128772755,87450602,-754396092,15888
-129003208,88418683,-752514861,15948
-128566899,89818932,-750349700,15060
-128016474,91478509,-748148488,13336
-127727724,93090201,-745930823,12484
-127442812,94542176,-744284177,12032
-127089680,95598615,-743519766,11668
-128719233,95740391,-744560532,11760
-130133415,95166088,-745659360,12228
-131809515,94245832,-747105435,12224
-133626089,93189241,-748924840,13176
-133642864,92043151,-750191553,31032
-131837581,92582993,-751176112,13924
-130226274,93478228,-752101164,12400
-128500701,94506103,-752934148,14900
-127048907,95221534,-753915100,14032
-125592963,95982252,-754770920,14300
-123380478,96715952,-755753248,13904
-122145444,97845672,-756419576,15032
-121497337,98706514,-756607000,15136
-120611549,99614239,-756707113,13388
-120062374,100526924,-757001989,14432
-120088808,102487509,-757122154,13324
-120660893,103050755,-756762205,14576
-122113107,102782458,-756027040,13816
-125468394,101888383,-753634368,15012
-128389392,100608483,-752050543,14344
-131360924,99956489,-751372235,12776
-133358554,97766088,-750586976,14196
-137035810,95786532,-749358909,13676
-139199012,93827560,-748853567,14476
-140681630,91360446,-748750244,14984
-140815257,89073735,-748887497,13024
-140447842,87511748,-749211993,13524
-139863472,85755529,-749804134,14196
-139051357,84634167,-750273547,13100
-138561874,84071546,-750560206,12720
-136196509,85712331,-751866875,13924
-136679259,86278072,-751683785,13980
-137265840,86698251,-751471918,13812
-137805932,87032736,-751277406,13684
-138277402,87326546,-751212485,13852
#!,zero-counter: 56
-136555227,88520871,-753987773,14696
-138163317,88190573,-752112002,14372
-139344105,88125815,-750176419,15660
-138698005,89104836,-748630113,16132
-137256149,90865470,-746899611,14436
-136025740,93275371,-744669678,13256
-134997596,95446675,-742761959,11620
-134225470,97362672,-741609435,11664
-133755587,99092056,-740877310,11464
-134010248,100620096,-740171308,12460
-134823965,101766538,-739494870,12720
-136143693,102415978,-738990226,12216
-137647452,102690086,-738837009,12256
-139093670,102566521,-739025907,12388
-140676198,101963543,-739695117,12020
-142521170,100945287,-740889568,11912
-144603449,99698532,-742548189,12736
-146608219,98317717,-744673192,22644
-144907391,95242114,-746829799,11064
-142611599,97006658,-747982313,12340
-140603562,99050979,-749541713,12204
-138540028,101138462,-750988901,14908
-135961023,103365252,-752190460,14772
-133142542,105828835,-753880946,13688
-131537550,108005825,-755009272,11496
-131022722,109217950,-755791622,18700
-131307638,109887964,-755844505,14716
-129592358,110275217,-756368303,13348
-130424475,109124149,-756199386,14156
-134746840,108108689,-752796217,16860
-141136036,107236752,-749164532,13580
-144943258,105610539,-746911352,15856
-145770474,104708625,-747097294,13256
-148421659,104234790,-745817203,12516
-150361957,103939920,-744582570,14412
-151026895,104360589,-744215568,13956
-151005739,104573655,-743802752,13712
-151181142,104887496,-743325783,13640
-151302218,104870869,-742765438,13652
-150265324,104862765,-742929959,13192
-147532657,105163174,-744332295,14556
-143955389,106574691,-745925626,12228
-139992290,108890499,-748387520,19640
-138551124,109559256,-749313011,11180
-137966491,110822350,-749578856,15804
-136617184,112325550,-750373975,16824
-135608867,114616721,-751242423,13432
-134743815,115078104,-751454052,13612
#!,zero-counter: 115
-134047376,116597119,-756476188,13660
-134441016,117175527,-756151408,13684
-134728558,117808670,-755824594,13608
-134393704,118822479,-753751130,15628
-134241857,119118056,-751073468,16216
-133424449,120036002,-748167739,16060
-132411349,121248055,-745372970,14196
-131634111,122481457,-742603879,11932
-130605958,123325528,-740263274,11292
-129857165,124000360,-738640563,10996
-129740549,124267755,-737539453,10564
-130719525,124167307,-736645523,10404
-132595201,123834573,-736024667,10592
-134935489,123299572,-735842934,11196
-137231229,122596345,-736157632,12008
-139414318,121626116,-736965110,12448
-141655265,120716873,-738083552,12560
-144040724,119800157,-739294982,12760
-146191876,118637470,-740763646,12416
-148270067,117278823,-742644597,29100
-148873526,114492272,-744876739,13968
-149043924,112715251,-744800184,12824
-147841371,114156467,-745210638,13960
-145822538,116571343,-746548609,17424
-144751068,118594655,-747701496,16624
-142800324,120316690,-748793762,13640
-140778318,123124011,-749763236,10484
-140750665,124283702,-750060011,15092
-141300625,124547774,-749726804,13680
-140448900,125399791,-749745989,13532
-139338223,126124796,-750122460,13348
-140702878,125857860,-749935998,14368
-142999225,125468666,-747711328,12784
-147976020,124820786,-744465711,17292
-154905378,124238694,-740740408,12844
-159166527,124232561,-737777340,11504
-163092762,123699125,-735540474,11956
-165689856,123651341,-734003853,13064
-166759590,123508319,-733580665,13284
-167383833,122976923,-732722770,13088
-165048235,122443483,-732787763,11772
-160217314,124285329,-734488964,21088
-153219262,124850017,-738619676,12624
-146472945,128386787,-742808050,11236
-140061819,129764330,-746974574,13536
-133860392,133234793,-751080093,20188
-128530564,136212493,-753795211,15152
-124964710,137893282,-754979731,15472
-119604907,139837280,-757872915,10184
-116705444,142380061,-759863253,16272
-114274188,143472944,-760821336,13072
-113636720,143837453,-761510004,13136
-113576001,143897910,-762178617,13072
-113852465,143816810,-762532517,13264
-114624770,143874155,-762547758,13396
-115754710,144027243,-762372067,13148
-117012315,144282317,-762193549,13344
-118107958,144422307,-761922833,13396
-119048583,144619675,-761711407,13400
#!,zero-counter: 68
-116808393,143539210,-761076963,17404
-113801861,144607907,-759779505,18308
-109274433,145920325,-757801104,17304
-104151818,146768058,-755747433,15176
-98886837,146465914,-754127896,12820
-94000922,144918432,-753084125,12204
-89186939,142003535,-752830878,11924
-84678326,137554204,-753744054,11960
-80946137,131789856,-755582097,12328
-78064654,125588506,-758219409,11100
-76118629,119584180,-761540592,11860
-75142263,114031178,-764825841,12220
-74872832,110027999,-767068086,13320
-72825781,107389387,-767259591,9552
-69476005,104029588,-766989058,9832
-67268345,100607447,-767608764,10036
-66391676,97133351,-769199652,9900
-66357663,93823976,-770971972,9192
-66565507,91064638,-771921957,9700
-66857187,88768114,-772592170,10328
-67924654,86841414,-772968562,9476
-69922510,84874981,-773384897,9852
-72514284,82609951,-774218555,10256
-75148946,79870262,-776115430,10752
-77635737,76351512,-778734949,15824
-79862896,71936971,-782197425,18172
-82004439,66971160,-786086136,17912
-84935770,62556612,-789829285,16208
-87976792,59054657,-793162018,15456
-90461634,56362777,-796218622,15812
-92592000,53833243,-799080644,16004
-94508842,51773641,-801625772,16328
-95950277,50021063,-803578149,16820
-97551980,48754143,-805013809,16076
-99111173,47651589,-806220960,15452
-100601687,46865817,-807012444,14396
-101834172,46204657,-807185795,13656
-102950350,45716012,-806982365,13368
-104211234,45133120,-806455706,13972
-105554575,44472476,-805939926,14404
-106937896,43935145,-805593249,14540
-108372109,43415987,-805654740,14732
-110196440,42552914,-805864233,14992
-112700695,40974462,-806096211,20284
-115591422,38776177,-806215328,15272
-118670761,36182523,-806271851,14472
-125403598,27698454,-803299087,15000
-125201639,28734086,-803822780,14192
-123563986,30750584,-805408849,15028
-121973623,33294538,-806584574,16848
-120045142,35341041,-807698858,10344
-116471365,39703724,-809548905,21940
-113414361,43999472,-811532158,14436
-110663233,47364818,-813082457,12468
-108308059,51414172,-814683793,15904
-107443218,54243676,-814322126,15680
-107551890,55685593,-813499077,14932
-107103044,56970366,-812936608,14708
-106306701,58019156,-812572919,14784
-105502369,58713277,-812174896,14212
-105693566,59483239,-810443187,11056
-107473986,60242147,-806551122,6792
-108859291,58494785,-805112602,16580
-109790083,57338663,-805539015,14860
-111334808,56143509,-805194392,15228
