#!,zero-counter: 1580
-42794739,11443476,-507344783,-572
-58382845,22516227,-506248863,2236
-73337400,33852570,-505107722,-2380
-83734519,43683291,-503999509,-1936
-90625271,52588757,-502822872,-2768
-88214256,53430880,-503292221,2908
-86143970,52418738,-503515517,-2452
-86810285,52988670,-503602068,-1248
-89382190,54122231,-503435535,-1252
-97666389,56790284,-502728567,-1648
-108805392,59699752,-501370780,-1864
-115674713,59347981,-500066585,-1004
-118786377,55825729,-498964278,404
-121050463,50598232,-499395336,1040
-120571182,43353051,-502589639,2368
-117510681,34680309,-508838030,2864
-111711168,25032909,-518387175,3412
-103059368,14856431,-531378917,3112
-92615771,4944683,-547950214,1784
-81937953,-3561525,-565101201,1816
-71714016,-10354274,-581960835,1456
-62123538,-15433089,-598457752,1696
-53219742,-19158551,-614680920,2164
-45754087,-21363169,-631476488,3468
-39752976,-22332383,-648059509,4772
-34965517,-22406081,-664419180,5888
-30401090,-22316758,-679152089,6892
-25653279,-22257030,-690346253,7600
-20289799,-22438538,-698236609,8264
-14653183,-22565637,-703575694,8768
-8845022,-22444322,-707428531,9316
-3130869,-21941306,-710904667,9036
2934517,-21563726,-714647863,8640
9115938,-21152992,-719095404,8652
15231623,-20571888,-724591894,8136
22184662,-20586940,-731293633,7676
29984791,-21222876,-739114771,7176
38023542,-22196044,-747712470,7128
45692393,-23196355,-756603731,14432
52292046,-23799200,-765143884,7480
56948085,-26218562,-775817603,10020
53132005,-30258236,-790210564,17020
46710051,-36935743,-804435810,10044
43598068,-50464415,-818082641,9552
35003047,-59737447,-830060286,7848
25772112,-67778572,-838501368,-5348
14712601,-72458864,-843512339,6328
3370277,-75115734,-845507533,10436
-1936468,-86062571,-844796608,8868
-13355472,-88008315,-843124283,8636
-23480346,-85351947,-840449918,7540
-26821112,-84315267,-836625824,11216
-27121684,-81664109,-832669764,14312
-27456013,-76143185,-828989260,16168
-28144802,-68563418,-825634623,8024
-27006182,-62689741,-822493309,20200
-26062855,-57024136,-820473460,-4284
-26339250,-50575604,-820588354,8400
-26451793,-42387599,-822978279,23020
-26539690,-25900156,-827400994,21184
-22718124,-1805921,-833206270,19680
-7387468,9610789,-838049460,16772
8866635,20145585,-842652431,11920
25767750,14319104,-848261419,6436
35975215,2074219,-852486426,18828
45917762,-16316670,-854090828,18920
54025599,-36229044,-852585681,21012
61304311,-53193265,-847837330,19848
62858495,-60150790,-841895483,15716
63507905,-64739565,-837414632,13080
61140940,-68020278,-835186301,9580
55321226,-72864707,-833330557,6876
47511337,-79125651,-829491184,6144
40703964,-84712930,-822572591,7920
37760655,-88824842,-812580003,8248
36405768,-88062221,-799868365,8388
35963097,-82429164,-784766993,7484
34834913,-73208196,-770881355,5556
31380326,-60941610,-755618459,1404
25436116,-47248590,-741342386,-1772
18386080,-34267182,-726690583,-3964
11240010,-23230256,-710547318,-4668
5014384,-14839052,-695080267,-3888
660475,-9378599,-678226340,-5376
-3009302,-5665566,-661072999,-4116
-9373212,-1285601,-643816381,-2820
-15188198,1274391,-626317002,-1428
-17474844,1848337,-608526444,-740
-15469641,609555,-590592292,-864
-2956176,-3771351,-575055558,-208
14899192,-8136285,-563963532,240
30627165,-9163550,-557381667,548
43396106,-7338968,-554541979,1100
54517433,-3817641,-554035951,264
61351337,1479771,-553561812,-156
64439114,7388074,-551202496,-696
64558436,12957872,-547249359,-1496
63837068,17222375,-542042915,-1964
63104974,20400873,-537021405,-2132
62698790,22884631,-531622671,-2056
63299842,24532616,-525640442,-1316
65082122,25394410,-520035534,-1700
68118318,25700950,-515513000,-2596
72368883,25667438,-511923058,-1744
76964437,25357990,-509346400,-3452
82280311,24611278,-507729149,-3768
87336570,23852038,-507339251,-3948
92211773,22576455,-507801549,-2864
98188801,20090997,-508213682,-2108
103296208,17017942,-507811703,-2636
105216989,14747769,-507287187,-1944
105983271,12450967,-507383938,-2348
105605141,10261748,-508657048,-2040
105762294,7287930,-510972176,-2492
106792939,3392971,-515494175,-1980
110733246,-2124215,-520653817,-1008
117870242,-9158289,-526387030,84
125927913,-16589092,-533161449,1780
133376176,-23516034,-539846633,4228
139532633,-29669418,-547895663,5384
144953051,-35325291,-557596915,6928
149255512,-40264039,-569046485,7612
152517165,-44814399,-582145429,7552
155051478,-49254841,-596572531,7688
155797256,-53017704,-611845835,6964
153904664,-55092503,-627460209,6136
150426981,-56504388,-642278825,5536
146266428,-58152007,-655406805,5232
140907633,-58949383,-666391800,4972
135069158,-58634636,-674944993,5544
130531053,-58420940,-682335517,5324
128597703,-58752173,-686153855,8340
129110655,-60408175,-689519725,13188
131458868,-63056504,-692156024,15608
134506043,-65952871,-694051458,16236
136915798,-68702718,-697927184,14044
137575681,-71407411,-705715328,10792
135974742,-73359114,-714131802,8032
132424252,-75505965,-723644964,6876
127039929,-78104087,-735234905,7136
119647012,-79784945,-746835641,7720
111200851,-79102472,-757278242,9148
105307461,-77433025,-763263880,10184
102186628,-75202613,-767585038,11472
102331688,-72584554,-767505380,11972
105222393,-70918441,-765824149,11908
108869057,-70382995,-765710845,11544
111415428,-70134836,-766713066,11084
111403162,-69434451,-768949373,10840
109426510,-68686767,-772021571,10388
105969376,-67346791,-773937152,10436
100889078,-65192677,-777758485,10648
95049191,-61891498,-781325653,10548
89280522,-57854675,-784179803,10004
83261199,-52845075,-784514587,9392
77354256,-47801041,-784074886,8876
56379065,-23856500,-770809736,7896
55692148,-23344949,-770339028,8368
54322508,-22306429,-770166825,9072
52540957,-20724205,-770099419,9712
51000587,-18956628,-769938012,10188
50721147,-17747618,-769556591,10524
52316435,-17441247,-769092890,10076
55965877,-18340605,-768602785,9564
60695461,-19988047,-768104492,9208
65599811,-22075430,-767568124,9140
69836884,-24144172,-767015256,9476
72932062,-25855190,-766445050,10052
74998437,-26952678,-765860336,11348
76864706,-27433175,-765045742,12996
79658633,-27822705,-763519890,14652
84478928,-29204443,-762443621,13896
90334817,-30575591,-759241206,12012
96260876,-31800427,-755464116,9764
101714375,-32638619,-751433939,6740
106300324,-32768084,-747459475,5092
109302515,-31720568,-743819834,4428
111045925,-29943700,-740965911,5572
112322744,-28119164,-739211178,6520
113503823,-26630290,-738540259,7524
114629074,-25466886,-738668486,8616
115643757,-24329645,-739010527,10140
116541552,-23174240,-739185051,10896
117409245,-22106922,-739013111,9824
118057691,-20911966,-738422905,7864
118516576,-19658988,-737641073,7304
118555653,-18243678,-736809672,7620
117987808,-16508348,-736274124,8484
116858503,-14645259,-736379363,9196
114859342,-12592686,-737104854,10108
