x,y,z
#!,zero-counter: 239
-19489337,4035096,-378238266,-1296
#!,zero-counter: 193
-33879738,11338482,-497835565,-1216
-33084739,10830301,-498567800,-1036
#!,zero-counter: 34
-40032348,14723095,-504916634,824
-50221468,21697899,-503709741,-1428
-54772219,25047030,-504290476,-1808
-47928208,19100984,-505401693,4656
-40451467,14554737,-506051077,-484
-34570877,11328053,-506668138,1204
-34126584,11805004,-506238783,5084
-41159963,17115597,-505192904,552
-43369982,19143280,-505734779,-7220
-27821775,8655350,-507312382,-1404
-18273006,2740139,-507703406,-88
-8870843,-3982920,-508049139,-1220
-3584674,-8640860,-508308119,-60
-2010215,-11398019,-508700909,684
133992,-14678304,-509131837,-1424
5802377,-19580752,-509678890,-3360
15126317,-26113299,-510120682,-2036
26717871,-33637810,-510657616,-1128
36863494,-39674691,-510916013,-1548
44810523,-44220558,-511247814,-2180
62339833,-54958895,-511917549,-1416
75581296,-63849211,-512456263,1844
83619447,-71217069,-512706617,-1716
86598744,-78406911,-512974368,848
65377808,-74301146,-513692351,4420
43907459,-70533895,-513716628,-5292
30430798,-72003477,-516219611,-1740
27703384,-81382308,-519457370,368
22971914,-89962691,-522766062,780
15765807,-96960205,-525735025,-352
10737331,-104192083,-528338179,-396
1259809,-107678967,-530695608,124
-12655019,-106390472,-532902130,1092
795797,-121160725,-531839880,3680
17475587,-132826323,-526843246,3928
22553144,-127023289,-521261964,-5588
22154301,-112445766,-517537102,-2736
26198195,-98122349,-518048203,996
22859354,-78652193,-521736222,648
28596589,-63980459,-525117813,212
41004181,-53940263,-529495186,4032
54145199,-46414461,-535955777,1352
66179200,-40825066,-544926152,2808
76974886,-36753820,-554975814,3464
86050775,-34142175,-565511397,3892
93866559,-32849336,-575075408,4632
99970513,-32064345,-583929824,5516
105181041,-32156334,-592779269,6636
109689149,-32659908,-602173044,6828
114501036,-33081823,-612287903,7396
120616370,-33156650,-623154643,7424
128282273,-32627613,-634908838,6868
137590190,-31569642,-647438781,6380
148043292,-29870241,-660108285,6160
158767452,-27547862,-672523126,4048
169413154,-24806671,-684289113,2928
179619749,-21995790,-695040265,2808
188252576,-19001519,-704727419,3808
194176975,-15729782,-713314623,4520
194843566,-11410510,-721066963,5200
192558743,-7593059,-727396748,5588
187834787,-4501669,-732174163,5252
181633235,-2426210,-735360632,5400
176796906,-1495609,-736743482,6308
171527174,-1413329,-736611157,5996
166187014,-2173288,-734971509,5408
161116168,-3175474,-731598961,10444
156578611,-3999223,-726527569,3896
152709271,-4549854,-719971025,4208
147635530,-6379459,-723700668,4208
144576278,-12096980,-738182235,6088
140155551,-17223939,-753941489,2300
135565290,-21984142,-769169068,15888
130470036,-27198386,-781496189,6124
123640888,-34168364,-791750536,6628
112982224,-41494230,-800466960,-756
105537443,-50704307,-806011443,6180
100721715,-58393241,-806925469,11304
95234988,-60588813,-806136123,8672
90590366,-59926965,-806218436,11724
87916938,-57007210,-807602928,12408
88121927,-52006143,-810329054,13628
91721969,-45649176,-813139984,27316
97842194,-38787845,-814482427,25168
105061917,-30445579,-814519923,22556
113769575,-22227875,-813871895,19672
122878634,-15479926,-813163854,20332
131302902,-11251082,-812823644,5984
135955158,-9693705,-813682711,11904
134066386,-10025808,-814495238,9208
128923854,-14840104,-815177696,7748
130823668,-34884677,-814850769,7180
132221630,-60974334,-812225167,6632
132540058,-83684862,-806709338,5088
132049809,-99872947,-799405543,2184
133915050,-112955147,-791763315,-584
139701386,-124023536,-785358178,-1928
148770412,-131696267,-780823455,-1512
160033061,-134863977,-778009315,2720
