20,10, 8,10,12,15,16,17,16,16,16,17, 4,24,22, 4, 4, 4, 4, 4, 4, 4, 4, 3,24,23,23,24,26,
 25,26,28,29,30,31,31,30,29,27,25,23,21,21,21,21,21,21,20,20, 5, 5, 5, 5, 4, 4, 4, 4, 4,
 19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
  6, 6, 8,17,21,23,27,28,25,25,24,23,12,13,13,13,13,14,16,27,31, 0, 0, 1, 0,29,29,28,22,
 19,10,10,11,11,11,11,12,13,14,16,24,29,30,31,31,31,31,31,31,28,27,25,23,21,21,22,22,22,
 10,11,11,11,12,13,15,16,17,19,20,24,28,29,30,31,31, 0, 0,31,30,29,27,26,25,25,24,24,24,
 23,22,12,12,12,13,14,17,21,22,23,24,26,29, 1, 3, 4, 4, 4, 3, 1,29,25,24,23,23,22,21,19,
 10,11,12,12,13,15,17,19,21,22,23,24,28, 0, 1, 2, 2, 3, 2, 1,31,29,26,24,24,23,23,23,23,
 20,11,11,11,12,13,13,17,21,22,22,25,28,30, 0, 1, 2, 4, 4, 2,30,27,26,26,25,24,24,24,24,
 10,10,10,10,10,11,11,11,11,11,12,13,26,29,30,30,30,29,29,28,28,27,27,27,27,27,26,26,26,
 10,10,10,10,10,10,11,11,12,13,17,22,24,25,26,28,31, 0, 1, 1, 1,31,27,27,26,26,26,25,25,
 10,10,10,11,12,12,12,14,16,20,21,22,23,29, 0, 0, 1, 1, 1, 1,31,29,27,26,25,23,22,22,20,
 14,12,11,11,12,12,13,15,18,20,21,22,25,26,28,31, 1, 2, 4, 4, 3, 0,28,26,25,25,24,23,23,
 11,10,10,11,11,11,12,12,12,15,17,19,21,25,28,28,30,31, 1, 1, 0,30,28,28,26,24,22,22,22,
 11,10,10,10,10,10,10,10,10,11,11,12,15,27,27,28,29,30,30,30,30,29,29,28,27,27,26,26,23,
 11,11,11,11,11,11,12,14,20,26,27,28,29,29,30,30,30,30,30,30,29,29,28,26,24,23,22,23,23,
 18, 9, 9, 9,10,10,11,12,12,12,12,13,18,23,23,24,25,26,27,29,31, 0, 0, 0, 0,30,27,23,23,
 11,11,11,12,12,12,12,12,13,15,22,23,23,23,24,26,28,29,31, 0, 0, 0, 0, 0,31,29,25,24,24,
 20,22,14,10,11,11,12,12,12,13,14,16,21,24,25,26,27,28,28,29,29,29,29,30,30,28,26,25,25,
 10,10,10,10,10,10,10,11,11,11,11,11,26,27,27,28,28,28,28,28,28,28,28,28,28,28,28,27,26,
 12,11,11,11,11,11,12,11,11,12,14,20,25,27,28,28,29,29,30,30,30,30,29,29,28,24,23,23,22,
 16,13,12,12,12,12,12,13,14,15,21,25,27,28,29,30,31,31,30,30,30,28,27,26,26,25,24,23,20,
 12,11,11,11,11,12,14,16,17,20,24,26,28,29,29,29,30,30,30,30,29,29,28,28,27,27,26,22,20,
 13,13,13,14,16,22,24,25,27,28,29,30,31,31,31,31,31,30,30,29,28,28,27,24,22,22,23,23,21,
 11,11,11,11,11,12,12,12,15,20,23,24,26,29,31, 1, 1, 2, 1, 0,31,29,28,25,25,23,23,22,22,
 25,27,30,28,26,25,24,19,10,10,10,10,11,11,11,11,12,25,27,28,28,28,28,28,28,28,28,28,26,
 12,10,10,10,10,11,11,12,12,14,17,21,23,24,25,26,27,29,30,30,31,31,31,31,30,28,26,24,24,
 13,11,11,11,12,12,14,16,19,23,25,28,31, 0, 0, 0, 0, 0,31,29,28,26,25,25,24,24,23,22,21,
 20,19,18,17,15,13,13,13,14,15,16,20,24,28,30,30,30,31,31,30,30,30,29,28,26,23,23,23,23,
 12,11,11,12,12,12,12,13,15,17,20,23,25,27,30,31, 0, 1, 1, 0,31,29,28,26,25,24,23,22,21,
 11,11,11,12,12,12,12,14,16,19,19,22,24,27,30, 0, 1, 2, 2, 1,31,30,27,26,25,23,23,23,23,
 14,11,11,11,11,10,10,11,11,16,20,21,22,23,25,27,28,30, 0, 1, 3, 2, 2,31,26,25,25,25,24,
 24,25,11,10,10,10,11,11,11,11,11,11,11,13,19,27,27,27,30, 0, 0,31,30,29,28,27,27,26,23,
 17,14,12,11,11,11,11,11,11,12,12,14,19,23,24,26,27,28,29,30,30,30,30,31,30,28,26,25,24,
 10,10,11,11,12,12,13,18,20,22,23,23,24,25,26,27,29, 0, 1, 2, 3, 2, 0,29,26,26,26,25,25,
 12,12,12,13,13,13,13,13,15,19,21,23,24,28, 0, 2, 2, 2, 1,31,29,29,28,26,25,24,23,22,22,
 10,10,11,12,12,12,12,15,19,21,22,24,27,29,31, 0, 2, 4, 5, 5, 3, 0,25,24,23,23,22,22,22,
 24,25,26,25,25,25,24,10,10,10,10,10,11,11,12,16,27,27,27,28,28,29,30,30,29,28,27,26,25,
 11,10,10,10,10,10,11,11,11,13,17,22,23,25,27,29,30,31,31, 0, 0,31,31,29,25,22,21,21,21,
  9, 9, 9,10,10,10,11,12,13,14,15,19,22,23,23,24,25,29, 2, 2, 2, 2, 1, 1,30,27,23,22,21,
 10,10,11,11,14,18,20,21,22,22,24,25,26,27,28,28,29,29,30, 2, 5, 5, 4, 1,29,26,25,25,24,
 16,11,12,12,13,13,13,16,20,22,26, 0, 2, 3, 3, 3, 3, 2, 0,27,26,25,24,24,23,23,22,21,21
