21,14,12,13,13,14,15,15,13, 6, 4, 3, 4, 8,11,11,11,12,12,12,13,13,21,26,28,26,26,30,14,
  5, 6, 6, 5, 4, 3, 1,31,29,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,
 24,25,25,17,12,12,12,12,11,10, 9,31,30,30,30,31,31, 0, 0, 1, 2, 6, 9,10,11,11,12,12,14,
 14,14,14,13,10,30,29,29,29,29,30,30,31, 1, 2, 3, 5, 6, 7, 7, 8, 9, 9, 9,10,10,11,12,19,
 16,15,14,14,14,14,14,14,29,30,30,30,31,31, 0, 1, 1, 4, 7, 7, 8, 9, 8, 8, 9,11,11,12,18,
 25,25,24,10,10,10,10,10,10, 9,30,28,28,27,27,27,27,27,27,28,28,29, 0, 9,10,10,10,10,10,
 12,12,12,12,12,28,28,28,28,28,29,29,29,30,31, 1, 4, 6, 7, 8, 9, 9, 9, 9,10,10,10,10,10,
 22,23,20,16,14,13,12,12,11,27,27,27,27,28,28,29,31, 0, 2, 6, 7, 8, 8, 8, 8, 9, 9, 9, 9,
 20,18,15,13,12,12,12,12,27,28,28,28,28,29,29,30,31, 1, 8, 8, 9, 9, 9, 9,10,10,11,14,24,
 11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,10,
 10,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,14,17,21,24,25,
 13,12,12,12,12,12,12,27,27,28,28,28,28,28,29,29,29,30, 3, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8,
 16,14,13,13,13,13,13,16,27,27,28,28,28,28,29,29,30, 0, 5, 7, 8, 8, 8, 9,10,11,12,12,12,
 19,18,16,13,12,12,12,12,11, 8,30,30,30,30,31, 0, 1, 2, 2, 2, 4, 8,10,11,11,11,11,12,11,
  7, 7, 7, 8,19,21,20,20,20,20,19,15,13,13,12,11, 6,30,31,31, 0, 1, 3, 7, 9,10,10,10,11,
