12,12,11,11,12,12,12,12,13,14,16,19,21,22,22,19,22,30,31,30,28,28,27,22,19,18,20,22,20,
 28,25,21,19,19,18,21,25,19,14, 4, 6,15, 6, 4,19,22, 3, 3, 1,30,31,29,17,17,18,18,17,15,
 23,23,24,24,20,15,14,13,12,12,11,11,10, 9, 4,30,29,29,28,28,28,28,27,27,27,27,26,24,14,
 15,15,14,14,14,13,13,12,10, 6, 2,31,30,30,29,29,28,28,28,27,27,27,27,27,26,26,26,26,26,
 11,11,11,11,11,11,11,11,11,11,10,10, 5, 0,31,30,28,27,27,27,27,27,27,27,27,27,27,27,27,
 16,15,15,14,13,12,11,10,10,10,10, 6, 1,30,30,29,29,29,28,28,28,27,27,27,26,25,24,23,23,
 19,16,14,13,12,12,11,11,12,12,29,29,29,29,29,29,28,28,28,27,27,27,26,26,26,26,26,26,26,
 18,16,15,15,15,14,14,12, 1,31,30,30,29,29,28,28,28,27,27,27,27,27,26,27,26,25,25,25,24,
 20,20,20,19,17,15,14,13,14,28,28,28,28,28,28,28,28,28,28,27,27,27,27,27,27,27,27,26,26,
 10,10,11,11,11,11,10,10,10,10,10, 8, 4,30,29,29,28,28,28,28,27,27,27,27,26,26,26,26,26,
  5, 5, 5, 5, 5, 5, 6, 8,12,14,15,20,21,18,14,13,13,13,12,30,31,31,30,29,29,28,26,24,24,
 16,14,12,12,12,12,13,13,12,12,19,23,26,27,27,28,28,28,28,27,27,27,27,27,27,28,29,29,30,
 21,19,16,14,13,12,11,11,11,11,11,12, 0, 1,29,28,27,28,28,29,30,28,26,26,25,25,25,25,25,
 15,15,16,17,19,21,22,22,24,25,26,26,27,14,12,12,11,11,11, 7,30,29,29,29,29,29,29,29,29,
 17,13,12,12,12,11,11,10, 9, 8, 4,31,30,31,31,31,30,30,29,28,27,26,25,25,24,24,24,24,24,
 18,18,17,17,16,16,14, 9, 4, 3, 3, 2, 1, 0, 0,30,28,27,27,26,26,25,25,24,23,22,21,19, 9,
 19,18,16,15,15,14,14,13,15,19,27,28,28,28,29,29,29,29,29,28,28,27,27,27,26,26,27,27,27,
 15,14,14,14,13,12,12,12,11,12, 9, 8, 5, 4, 3, 2, 0,31,30,29,28,27,25,25,24,24,24,24,23,
 23,23,23,24,25,26,27,26,25,27,28,29,12,12,11,10,10, 9, 3,31,30,30,30,29,29,29,29,28,27,
 20,15,14,14,13,12,11, 9, 8, 7, 6, 6, 5, 4, 2,30,28,27,27,26,26,26,26,26,26,26,26,26,27,
 14,13,12,10, 9, 7, 6, 4, 3, 3, 2, 1, 1, 0, 0,31,30,28,26,25,24,23,23,23,23,23,24,26,27,
 20,19,18,18,17,16,16,16,14,10, 6, 5, 4, 3, 2, 0,31,29,29,28,27,26,25,25,24,24,24,24,23,
