12,10,12,18,20,21,20,18,20,23,23,24,18,11,27,27,28,28,13,12,10,10,11, 8, 7,21,14, 9,11,
 24,25,31, 2, 3, 5, 7,10,12,13,13,13,14,14,14,14,14,15,15,16,17,11, 9, 8, 7, 6, 5, 4, 3,
 23, 4, 6, 7, 8, 8, 8, 6, 5, 3, 2,16,16,16,16,16,16,17,17,18,18,16,12, 7, 5, 6, 6, 7, 7,
  7, 7, 7, 7, 6, 6, 6,19,19,18,17,17,17,16,16,16,16,16,14,11, 9, 8, 7, 7, 6, 6, 5, 5, 4,
 20, 9, 8, 8, 7, 8, 7, 7, 7, 6, 2,30,29,26,22,20,18,18,18,18,17,14,12,11,10, 9, 9, 9,11,
 25,26,22,24,27,26,27,28,30, 7, 8,10,11,12,13,14,14,14,14,14,14,14,14, 9, 5, 4, 4, 4, 4,
  2, 4, 4, 4, 4, 4, 4, 4, 4, 6,16,16,16,16,16,16,16,16,16,16,15,13, 9, 7, 6, 5, 4, 5, 6,
  5, 5, 6, 6, 6, 6, 6, 6, 6, 9,12,15,16,16,17,17,17,17,17,17,16,15,15,12, 8, 6, 6, 7, 9,
  7,16,19,19,19,18,18,17,17,17,17,16,16,14,12,10, 9, 9, 8, 8, 8, 8, 7, 7, 7, 6, 6, 6, 3,
  8, 8, 7, 6, 5, 4, 3, 2, 0,29,25,20,18,18,17,17,17,17,17,15,12, 9, 8, 8, 7, 7, 7, 1,28,
  8, 8, 8, 8, 7, 6, 5, 4, 3, 0,29,27,25,22,21,20,19,18,18,17,16,15,13,10, 7, 7, 7, 8, 9,
 27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,
 10,11,11,12,12,12,13,13,14,14,14,14,14,14,14,13,13,11, 9, 7, 6, 5, 5, 4, 4, 4, 4, 4, 4,
 26, 4, 6, 7, 8, 8,10,11,13,14,14,15,15,15,15,15,15,16,15,20,25, 6, 5, 4, 4, 5, 5, 5, 6,
 24, 2, 5, 5, 5, 4, 4, 4, 6,12,15,16,16,17,17,16,17,17,16,14,10, 5, 4, 3, 4, 4, 4, 5,10,
  6, 6, 5, 5, 5, 5, 5, 4, 4, 3,28,21,18,17,17,16,16,16,16,15,14,13,12,10, 8, 8, 8, 6, 6,
  6, 6, 6, 5, 5, 6, 6, 5,31,26,23,20,19,18,18,17,17,17,16,16,13,10, 8, 6, 6, 5, 5, 4, 4,
 30,30,30,28,27,28,29,29,29,30, 2, 8, 8, 7, 7, 7,13,14,15,15,15,15,15,15,12, 6, 5, 4, 6,
 27, 0, 3, 4, 5, 6, 9,10,11,13,14,14,15,15,15,15,15,15,14,10, 6, 4, 4, 3, 3, 2, 2, 2, 0,
  6, 5, 5, 5, 6, 5, 5, 5, 4,15,18,17,17,17,16,16,16,16,15,16,15,11, 5, 4, 4, 3, 3, 4, 5,
 28,31, 1, 2, 3, 3, 3, 4, 4, 5,10,15,18,17,17,17,17,17,17,15,12,10,10,10, 8, 6, 6, 6, 5,
 28,29,29,29,29,29, 4,10, 8, 8, 8, 8, 8, 9,15,16,16,16,16,16,15,14,13,11, 6, 3, 2, 1, 1,
  1, 3, 4, 5, 6, 6, 6, 6, 5,15,18,18,18,17,17,17,17,17,16,13,10, 7, 6, 6, 6, 5, 5, 5, 0,
  4, 4, 5, 5, 4, 4, 4, 4, 4, 4, 6,19,19,18,18,17,17,17,17,16,15,13,11,10, 9, 9, 6, 4, 4,
  9,11,13,13,14,15,15,15,16,16,16,16,16,15,17,18, 8, 7, 7, 7, 7, 7, 7, 6, 6, 5, 5, 4, 2,
  0, 4, 6, 7, 7, 8, 9,11,13,14,15,15,15,15,16,16,16,16,16,15, 9, 6, 6, 5, 5, 5, 4, 4, 4,
  3, 4, 5, 5, 5, 5, 6, 7, 8,13,15,16,16,16,16,16,16,17,17,18,19,12, 9, 8, 7, 7, 6, 6, 5,
  0, 2, 4, 5, 5, 6, 6, 6, 7, 6,18,18,17,17,17,17,17,17,16,15,13,11,11,10, 8, 6, 6, 6, 7,
 28,28,28, 0, 6, 6, 6, 5, 4, 3, 3, 3, 5,13,14,15,15,15,15,15,15,14,13,13,12,10, 9, 7, 1,
 26,25,26,28, 1, 4, 6, 6, 7, 8, 9,11,13,15,16,16,17,17,17,17,17,13, 8, 8, 7, 7, 5, 5, 8,
  5, 5, 5, 6, 6, 5, 4, 4, 3, 0,19,18,17,17,17,17,17,17,17,15,12,10, 9, 8, 7, 6, 6, 6, 6,
  7, 6, 6, 6, 5, 5, 5, 6, 4, 0,30,28,21,19,18,17,17,17,16,15,14,13,12,11,11,10, 8, 6, 5,
 30,30,28,27,27,27,27,27,27,27,28, 5, 8, 6, 5, 5, 5,10,16,16,16,17,16,12, 7, 6, 6, 6, 7,
 26,26,28,31, 1, 2, 3, 4, 4, 6, 8,15,16,16,16,16,16,16,16,15,14,12,10, 8, 6, 5, 4, 4, 3,
 26,26,26,26,26,27,29,31, 1, 2, 3, 3, 5,16,17,17,16,16,16,14, 8, 6, 5, 4, 4, 3, 3, 2, 0,
 28, 0, 1, 2, 2, 3, 3, 4, 9,12,13,15,15,16,16,16,16,16,16,14,10, 6, 4, 4, 4, 4, 6, 9, 6,
  6, 7, 7, 7, 8, 9,10,12,15,16,16,16,17,17,17,17,18,18,20,21, 4, 4, 4, 4, 4, 4, 5, 6, 7,
  1, 3, 4, 4, 5, 6, 7, 8, 8,10,15,16,16,17,17,17,17,16,16,16,16,15,12, 7, 5, 4, 3, 3, 2,
 28,28,28,28,29, 1, 4, 5, 5, 4, 4, 3, 1,24,18,17,17,17,17,16,15,13,11, 9, 7, 6, 6, 6, 5
