23,27,30, 0, 0,30,28,28,29,31, 2, 5,14,14,14,14,15,15,14, 7, 3, 3, 3, 4, 4, 4, 6, 9,12,
 12,12,11,11,11,11,10,10, 8, 4,31,28,27,27,27,27,27,26,26,27,27,27,27,27,28,23,15,11, 9,
  7, 7, 7, 7, 7,10,20,21,16,15,14,14,13,11, 6, 0,31,30,29,28,27,17,15,14,12, 8, 2, 2, 4,
 22,20,19,17,15,14,13,12,11,10, 6, 3, 2, 0,28,26,26,25,25,23,18,10,10,10, 9, 6, 4, 5, 2,
 26,27,27,23,20,17,17,16,15,15,13, 7, 3, 3, 3, 4,29,26,26,25,18,13,13,11,10, 7, 6, 8, 4,
 15,15,18,22,25,28,29,29,27,26,25,14,13,12,12,11, 8, 0,30,29,29,27,18,14,21, 0, 4, 1, 0,
 16,14,13,12,12,11,10, 8, 4, 3, 2, 0,29,27,26,26,24,21,18,15,11,10, 8, 5, 3, 2, 1, 1, 3,
 17,15,13,12,12,11,10,10, 8, 5, 4, 1,29,26,25,25,25,25,24,20, 9, 6, 6, 6, 6, 5, 4, 1,30,
 20,18,17,15,14,13,13,10, 6, 4, 2, 1,30,28,27,26,26,24,20,16,13,11,11,10, 9, 8, 7, 3, 2,
 19,18,17,17,16,15,14,13, 9, 6, 5, 4, 4, 2, 0,29,24,23,22,20,18,14,11, 9, 8, 6, 6, 5, 3,
  0, 0,31,31,30,30,29,25,13,13,13,12,11,11,11,11,11,11,11,11, 6, 1,31,30,30,29,28,26,26,
 27, 0,31,30,28,20,15,13,13,12,12,12,11,11,11,10, 7, 3, 1,31,30,28,27,25,24,24,23,22,15,
 17,17,16,15,13,11, 9, 7, 6, 3, 1, 0,30,27,26,25,25,24,24,21,15,12,10, 6, 3, 4, 4, 4, 4,
 17,16,15,15,13,12, 8, 5, 2, 0,31,29,28,28,27,24,18,16,15,14,13, 7, 6, 6, 5, 5, 5, 3,31,
 12,12,12,12,11,11,11,10, 8, 5, 3, 2,31,29,28,28,28,27,27,24,13,11,10, 8, 4, 1, 1, 1, 1,
 13,12,11,11,10, 9, 8, 7, 4, 3, 0,30,28,27,26,26,25,24,23,22,12, 9, 7, 6, 5, 4, 3, 2, 1,
 18,17,16,15,15,14,11, 9, 7, 7, 5, 3, 0,28,26,26,25,24,21,16,10, 4, 5, 4, 4, 4, 4, 4, 4,
  9, 8, 6, 1,30,29,28,27,27,27,26,26,26,26,25,25,24,22,13,10,10, 8, 5, 4, 3, 1, 0,31,30,
  3,23,19,18,16,15,14,14,10, 8, 7, 5, 3, 0, 0,30,29,27,25,25,24,23,20,16,10, 7, 6, 4, 4,
 24,24,25,25,26,26,26,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,29,
  8, 8, 9, 9, 8, 8, 7, 5, 2,30,28,27,26,26,26,25,25,23,19,10, 8, 6, 5, 3, 1,31,30,30,29,
 23,21,15,13,13,12,12,11,11, 9, 7, 3, 0,29,28,27,25,25,24,24,23,21, 7, 6, 5, 5, 4, 4, 3,
 19,17,16,15,14,14,13,10, 7, 6, 3, 2, 0,30,29,28,27,25,21,17,15,12, 9, 7, 6, 5, 5, 3, 2,
 14,13,13,13,12,11,11,11,11,10, 9, 8, 3, 0,31,29,28,28,27,27,23,18, 7, 4, 5, 4, 4, 4, 1,
  4, 4,24,23,21,17,15,14,13,13,11,10, 8, 4, 0,30,28,24,22,21,19,13, 7, 8, 7, 6, 4, 2,30,
 21,19,17,16,15,13,12,11, 9, 8, 4, 1, 1,31,28,25,24,23,23,21,14,11, 8, 7, 4, 4, 3, 4, 4,
 11,11,11,11,11,11,11,10,10, 6,30,28,28,28,27,27,27,27,26,12,12,12,12, 5, 1, 1,31,31,30,
  7, 6, 0,25,23,20,15,13,12,11,10, 9, 8, 5, 1,30,29,28,26,24,23,21,16,10, 6, 4, 4, 4, 2,
 21,17,15,15,14,13,12,10, 8, 6, 5, 2, 0,30,30,28,26,24,24,20,18,11, 7, 6, 6, 6, 5, 3, 1,
 12,11,11,11,11,11,10, 8, 8, 7, 6,30,28,27,27,27,26,26,26,26,25,21,11, 6, 2,30,29,29,28,
 19,16,15,13,13,12,12,10, 8, 6, 5, 4, 3, 1,31,28,27,26,25,24,22,18,12, 8, 5, 4, 3, 2, 0,
 15,14,14,13,13,12, 9, 8, 6, 4, 1,31,30,29,28,26,24,22,19,16,11, 8, 8, 6, 4, 3, 2, 1, 1,
 16,16,15,15,14,13,12,11, 9, 6, 2, 0, 0,31,28,25,25,24,21,14,11, 9, 7, 6, 5, 5, 6, 6, 5,
 28,27,25,24,15,11,12,12,11,11,11,10, 8, 1,30,29,28,28,27,27,27,20,13,13,10, 2, 5, 2,31,
 15,14,13,12,12,11,10, 9, 8, 5, 4, 2, 1,28,26,25,25,24,23,22,13, 7, 6, 5, 4, 3, 3, 3, 3
