#!,zero-counter: 367
-29559600,11189067,-519559864
-31151253,11703967,-520418714
-30079266,10520992,-520939410
-27992301,8841328,-521668797
-30679094,10353445,-522511726
-30177278,10028430,-523620967
-30790447,10372133,-524557362
#!,zero-counter: 1332
-67109286,28039051,-582096508
-68193298,27080130,-581932891
-68191275,25853630,-581869230
-68809825,24833277,-581752584
-69304472,23788747,-581570836
-69775877,24312919,-582698974
-65781877,23674473,-583133906
-64692913,24257380,-582973411
-64438302,24825914,-584266657
-65662909,26413703,-585157294
-64760154,28290512,-585970077
-62652665,30975630,-586584160
-53330210,24798753,-587507301
-50511649,24172437,-587565478
-53280861,25427849,-587273649
-55408223,25997366,-587021274
-58822436,27951160,-586763014
-64109666,31435720,-586190212
-69117560,34829468,-584963035
-72195197,37879108,-583538731
-72318195,40150629,-582546100
-70159524,42173246,-582493603
-66833361,44507832,-583431993
-63300625,47173109,-585095852
-59020678,49476275,-588286904
-55246335,51503743,-593498770
-52744348,53205373,-600881267
-50653917,54016660,-610714382
-49318529,54017617,-622932722
-49981768,54417452,-636722412
-52623657,55477578,-651292030
-56785888,57059133,-665584840
-60907057,58409029,-679370392
-63457914,58436216,-692447112
-63157584,56200731,-705545363
-60267014,51432267,-717487447
-55310959,44566414,-729860463
-49704141,36545103,-741874470
-45183333,29255281,-753243544
-42390127,23828634,-763526395
-41172550,20745337,-772554496
-41083773,19863935,-780322402
-41403209,20471885,-787094257
-42034708,21999151,-792917658
-42853924,23868976,-797795334
-44290404,26491046,-801465044
-47820408,31409921,-803641992
-52469484,38684876,-804346475
-56774808,47397330,-803853651
-60106522,56902270,-802748778
-62156473,66166255,-801281905
-62177746,74588342,-799453991
-59434736,81286670,-797236699
-55149189,86937453,-794273870
-50529007,92422556,-790206504
-55305094,106493566,-783665639
-59390342,102976544,-797310074
-58028470,93098372,-811420663
-56890928,80582769,-825206681
-54185477,64420602,-837033675
-58442709,56170725,-844977757
-69821022,59810865,-847846873
-82712173,69530797,-847802674
-86981063,70712679,-847004045
-89827699,74473161,-845359417
-89071124,76353019,-843951447
-83056425,72442093,-843945286
-78939834,69426952,-844028155
-79214551,68844748,-843764704
-75343345,63213237,-842099756
-68513939,52786624,-839831204
-66849641,48296679,-834947643
-61796524,35439339,-832145299
-56470614,19680030,-829019793
-53611346,5302763,-825074685
-56192564,3857058,-822295169
-55638659,2982863,-819911266
-50084147,-65672,-819453803
-43776359,-1554471,-820702826
-36868431,-1942773,-822880683
-29547061,-570555,-825259654
-21647306,2896134,-827519887
-13729693,9129746,-828363501
8325503,3643770,-828273831
25425661,6793638,-827444461
38913755,10996987,-831734729
51637710,13338937,-839227450
60405766,17624036,-848833726
65794332,22526731,-859263377
67366035,27047760,-869856558
65168632,30159102,-880021292
60733954,30732709,-889082666
54814364,29786383,-896965149
48970375,28143389,-903432862
44092728,26438496,-909612527
40031075,25026405,-913690057
36881544,23809667,-918082205
34427491,22554763,-920873744
31097902,25593101,-922986269
24333941,45651158,-924289183
24856953,53703973,-923947061
26372876,57273408,-923259501
26673108,61435232,-922299673
26006366,66195785,-922866201
25213212,68791833,-924186495
23515517,69058989,-925314102
20099242,67337420,-927317386
14327908,65423260,-927702027
7363663,63961990,-927203530
-58789,63742897,-927083962
-7368672,64291220,-926039089
-13506192,63871867,-925931735
-18196217,65055981,-927952002
-19801334,65865308,-929783154
-17209763,65976411,-932835621
-10634882,64313107,-934379947
-3022336,66739548,-936046645
5800004,70191464,-935664672
15343734,73705084,-934232026
24679920,77144358,-932034628
32154403,77993119,-929995645
35262182,76004740,-929700707
33354798,71219898,-929270010
29142932,64882732,-929574835
25210998,58030175,-930631493
23449033,50873616,-932487467
24815334,42493125,-935745047
28267276,35492362,-938056009
34070343,32724093,-941051189
40586732,33356670,-942245524
47567498,35546981,-942243038
56860065,33147675,-941487186
66673233,26557663,-939366160
75018063,19516916,-935731464
82100661,11575338,-930815413
88107950,3575488,-924884579
92810021,-3166695,-918513686
96069926,-8629822,-912523077
97944578,-12662811,-907539364
98778187,-14937739,-903932604
99141159,-14341113,-901659642
99237850,-10992952,-900836668
97396505,-5795939,-901022393
91974993,736674,-901854797
82673894,8191429,-903202387
71298128,15655357,-905008022
60302835,22523766,-907219436
51186935,29206874,-909356906
43843377,35471505,-911341848
37350303,41234735,-913260170
32124844,46037667,-915236674
28419393,49515398,-917115391
25818689,51922174,-918668281
23661478,54084304,-919593866
22049170,56237404,-919990276
20782863,58525194,-919873618
19626565,60952742,-919309231
18460145,63322853,-918315280
17650991,65161676,-917199126
17920329,66580915,-916460183
20004705,68069432,-916506314
23255422,69931409,-917136246
26532174,71109796,-918206349
28024084,71237480,-919291933
27204735,70496998,-919998820
25543849,69033214,-920341093
24365611,67912081,-920552129
24570503,67565446,-920704850
26097893,68422114,-920656798
28650346,69878872,-920474468
31620006,71280144,-920443150
33671602,72575097,-920685470
35181930,73608357,-921330924
36027368,74271232,-922369268
36129204,74818714,-923505012
35773596,75566849,-924680320
35590148,76463183,-926035725
35757643,77517325,-927566443
36564387,78570051,-929376734
38166338,80010349,-931700254
39042451,81240414,-934293450
38650695,81673591,-936650833
37316486,81037552,-938812932
35836357,79912708,-940684170
34626447,78479808,-942333080
32347608,76879609,-943235974
29653159,75672190,-943282572
27466759,74789961,-943061473
25794868,74015666,-942887252
24774927,72822290,-942833479
24625470,71462750,-942985955
24974454,69970046,-943211535
25483913,68322588,-943442059
26224092,66678434,-943575493
26828859,65463409,-943691313
27323300,64834107,-943714723
27728052,64659530,-943539042
28095796,64647892,-943284265
29612862,64607757,-942497305
30365876,64709229,-941773339
30976918,64651505,-940815100
32970326,64682060,-938536299
33810306,64470728,-937885337
34597874,64112214,-937279209
35407592,63645699,-936607444
36304809,63153729,-935832959
37093102,62781905,-934969161
36877964,62004256,-933260702
36316719,62243234,-933291409
35221468,62461902,-933570315
33782403,62672586,-934061229
32281982,62725357,-934610930
30503006,62506958,-935131505
28425729,61964489,-935597232
26091671,61093642,-936278546
23457073,59909560,-937177143
21034408,58500132,-938179124
20212559,55886614,-938999460
19926362,53349678,-939282881
20394827,51294628,-939369882
20910211,49682929,-939217938
21200421,48372182,-938908854
21359486,47196058,-938638911
21467326,45934314,-938392605
21350314,44533033,-938200632
20793131,43406304,-938043523
20038407,42311021,-937870535
19127622,41545671,-937721432
18242365,41065054,-937494733
17509894,40823173,-937221716
20311251,39718504,-934703309
20707738,39026050,-935010460
20973013,38367951,-934885814
21389254,37052210,-934620002
#!,zero-counter: 13
17418841,33616827,-929664802
16696520,33339751,-929280643
15892820,33127460,-928875069
15088034,32937362,-928536833
#!,zero-counter: 225
23217434,43206618,-888762013
23776135,44343714,-888647573
24195187,45840412,-887883978
21773731,47471012,-883803529
22302594,49471927,-882576574
22926085,51295381,-882394496
22987799,53601536,-881140403
23584814,55202135,-880905095
24135689,56681257,-880503017
24267156,57603036,-880051210
22449237,59117026,-876528071
22626086,59907379,-873901328
#!,zero-counter: 110
27239891,56399881,-874198106
27325135,57632198,-873769506
27488059,59241920,-873240728
27510215,61018349,-872650248
27221990,62810111,-871988358
26441307,64640152,-871148253
24920455,66364689,-869655311
23938127,68304993,-867579878
24210815,70761307,-865492045
25396098,73019023,-863114421
26297773,74836508,-859619140
26420878,76061565,-854560018
25826353,76986373,-847974321
25314320,78196827,-841066855
25792868,79434665,-835058905
27176095,81479246,-830515128
29374983,84391515,-827295527
32061878,87761592,-824839062
34419030,90980763,-823009010
35804412,94089582,-821464832
37221703,96319980,-820570916
38095313,97808499,-820626955
38481141,98639495,-821268124
38211477,99117881,-822094814
37796981,99467014,-823073235
37819499,99856187,-824548414
38215224,100606777,-826683126
38624712,101721249,-829118193
38916368,103044081,-831728800
39206340,104453051,-834278017
39530159,105793392,-836789780
39786879,106890478,-839230803
39833016,107593286,-841545605
39887916,107908510,-843716128
39977037,107980432,-845722617
39887882,107905840,-847756327
39550044,107677120,-850025860
38843366,107348933,-852453861
37746621,106827061,-854981817
36125861,105865438,-857452282
34098350,104468764,-859495052
33802619,102316206,-860808615
34311869,100291056,-861635958
35422243,98803232,-862193788
36416411,97406655,-862567130
37108196,96153080,-862674971
37094754,95030421,-862399159
35724643,93756868,-860662991
33768865,93328359,-858826006
33108983,92515122,-857003936
32525063,90856199,-855747550
31250507,90531794,-854040108
29589800,89858494,-851294629
27208396,86004476,-849100574
23852866,83749417,-847263571
20369041,80746175,-845279466
16938033,75808388,-843860040
16055390,73187763,-843019068
15788864,71236958,-842262913
16012103,70093235,-841764482
16745271,69723874,-841711003
15804810,69595727,-841424053
15790609,69333415,-842344479
18083501,70118816,-845388394
23360690,73000025,-849733310
27808045,76984984,-853010784
31001725,80745967,-854976690
34055528,84031702,-856484750
36793944,86128700,-857891737
40189025,88664580,-858948443
41875113,91159703,-859286499
44413230,92461105,-859690836
45761537,93477545,-859736889
46497356,94430194,-859774798
47027255,95356407,-859727052
47236426,96263211,-859526697
47009736,96985608,-859267460
46588529,97517808,-859046675
#!,zero-counter: 159
49762842,98190333,-862658229
49481686,99305750,-862333174
49307071,100680897,-861670320
49414527,102058740,-860031013
50259724,103170069,-857191677
52227911,103916947,-853886379
54917920,104688010,-850556083
57419305,105451940,-847436488
59127745,106002278,-844684702
59920976,106441683,-842450254
60225554,106783591,-840666088
59880218,106990506,-839152508
58712137,106952217,-838011458
56745705,106570166,-837208719
54282414,105807098,-836984588
51783336,104540016,-837524535
49207215,102913250,-838856620
46371984,100925914,-840791263
43397725,98729131,-842994042
40320266,96452976,-845249481
37590900,94076846,-847889848
37038669,92808824,-849675760
37053120,90727831,-850691052
37201224,89642313,-851096707
36777185,88829944,-851155472
37486073,90177647,-850486290
39474271,92590321,-850599095
41599038,95297014,-851319829
43707353,97789439,-852319548
45014480,99894923,-852761560
45214012,101038413,-853078763
46343337,102575876,-853140586
46399040,104433654,-853003357
47526604,105343707,-852959726
46367648,105837657,-851838094
42823062,105056993,-848623265
39273491,103012163,-846455586
36875639,100113314,-844865566
35273829,98734189,-843949784
33505291,97897066,-842908433
33286435,96001346,-841909367
34104683,95733599,-842256882
33008942,95897810,-841824372
31987922,96048884,-841318019
32983731,98284488,-841778368
34914705,99925578,-842419966
35960665,101955638,-843067233
36596416,104073295,-843633321
36486276,105416865,-843627652
36636245,106656555,-843511077
37302450,107913475,-843265484
37878166,108948135,-843016389
38482686,109780784,-842896637
39206129,110279393,-842942673
39967839,110489522,-843073275
42088759,109859363,-843977335
#!,zero-counter: 77
44400132,103682737,-848252223
44433282,104560614,-847904453
44354227,105569212,-847446974
44176785,106657495,-846810595
44176775,107958768,-845503888
44442467,109364586,-843711685
45416746,110460097,-842124947
46968091,111402471,-840533481
48310649,111949302,-838437989
48632904,111975497,-835944395
47727017,111756826,-833197105
46213360,110905656,-830567978
44739896,109775152,-828706349
43653938,108846132,-827977190
42900606,108282921,-828412797
41900418,107882510,-829498009
40463732,107427678,-830997408
38606694,106612822,-832950027
36365715,105418106,-835231509
34461618,104171025,-837207716
34259802,102992926,-838086159
34812444,101869965,-838749916
35712150,101128296,-839160381
34239297,100359814,-839486417
33034982,99990502,-839521203
33486312,100689564,-840115357
35774341,102368649,-841015417
38949363,103741155,-842405012
